aan ஹ
aar ஺
ae ஻
aeb ஼
aef ஽
aek ா
aem ி
aen ீ
aend ு
aesk ூ
aeskt ௃
aet ௄
aez ௅
ah ெ
ahm ே
ahn ை
ahp ௉
ahv ொ
ao ோ
aof ௌ
aol ்
aor ௎
aw ௏
awnd ௐ
awt ௑
ax ௒
axf ௓
axk ௔
axl ௕
axn ௖
axng ௗ
axns ௘
axnt ௙
axt ௚
axv ௛
axz ௜
ay ௝
ayl ௞
aym ௟
ayv ௠
ayz ௡
baa ௢
baek ௣
bah ௤
bahnch ௥
baht ௦
bawt ௧
bax ௨
baxl ௩
baxng ௪
bay ௫
beh ௬
behd ௭
behst ௮
ber ௯
bey ௰
bih ௱
bihg ௲
bihld ௳
bihn ௴
biy ௵
blaaks ௶
bowl ௷
bowlz ௸
braen ௹
brah ௺
brahsh ௻
brehk ௼
buhk ௽
buhks ௾
byax ௿
chax ఀ
chaxz ఁ
chayld ం
cher ః
daa ఄ
daal అ
daalz ఆ
dae ఇ
dahk ఈ
dahn ఉ
dahz ఊ
dahznt ఋ
dao ఌ
daog ఍
daor ఎ
daorz ఏ
dawn ఐ
dax ఑
daxd ఒ
daxl ఓ
daxlz ఔ
deh క
der ఖ
dey గ
dhaen ఘ
dhaet ఙ
dhaets చ
dhax ఛ
dhaxng జ
dhaxs ఝ
dhaxt ఞ
dhehm ట
dhehn ఠ
dhehr డ
dher ఢ
dherz ణ
dhey త
dhiyz థ
dhowz ద
dih ధ
dihd న
dihdnt ఩
diy ప
diyz ఫ
downt బ
dreh భ
drehst మ
drihngk య
duw ర
eh ఱ
ehk ల
ehls ళ
ehs ఴ
er వ
erz శ
faekt ష
faor స
fawnd హ
fax ఺
faxlz ఻
faxn ఼
faxst ఽ
fayn ా
faynd ి
fayv ీ
fer ు
ferst ూ
ferz ృ
fey ౄ
fihf ౅
fihfth ె
fihks ే
fihng ై
fiyl ౉
flaw ొ
fown ో
frahm ౌ
frahnt ్
frehndz ౎
fuwdz ౏
gaa ౐
gaat ౑
gawnz ౒
gehn ౓
gehs ౔
geht ౕ
gehts ౖ
ger ౗
gihv ౘ
giy ౙ
glae ౚ
gow ౛
gowz ౜
grae ౝ
graend ౞
grax ౟
greyp ౠ
guhd ౡ
gyax ౢ
hhaard ౣ
hhaef ౤
hhaen ౥
hhaend ౦
hhaev ౧
hhaez ౨
hhah ౩
hhahgz ౪
hhaw ౫
hhaws ౬
hhax ౭
hhaxd ౮
hhaxv ౯
hhay ౰
hhehd ౱
hhehlp ౲
hhehr ౳
hher ౴
hhihr ౵
hhihz ౶
hhowl ౷
hhowm ౸
hhuw ౹
ih ౺
ihf ౻
ihn ౼
ihng ౽
ihrz ౾
iht ౿
ihts ಀ
ihz ಁ
ihznt ಂ
iy ಃ
iych ಄
jhahst ಅ
jhuw ಆ
jhuws ಇ
kaan ಈ
kaar ಉ
kaaz ಊ
kae ಋ
kaen ಌ
kaent ಍
kaet ಎ
kaets ಏ
kah ಐ
kahm ಑
kahp ಒ
kahps ಓ
kao ಔ
kaol ಕ
kaold ಖ
kaolz ಗ
kaoz ಘ
kaxl ಙ
kaxm ಚ
kaxn ಛ
kaynd ಜ
kehpt ಝ
kerz ಞ
key ಟ
keyjh ಠ
kih ಡ
kihdz ಢ
kiy ಣ
kiyp ತ
kiyz ಥ
kliy ದ
klow ಧ
klowdhz ನ
kow ಩
kowm ಪ
kuh ಫ
kuhd ಬ
kwaxd ಭ
kyax ಮ
laat ಯ
laats ರ
laest ಱ
lahvz ಲ
laong ಳ
lawd ಴
laxng ವ
layk ಶ
layks ಷ
layv ಸ
layz ಹ
leh ಺
ler ಻
lern ಼
lih ಽ
lihv ಾ
liy ಿ
low ೀ
luhk ು
maa ೂ
mae ೃ
maen ೄ
mah ೅
mahch ೆ
mahng ೇ
mahnths ೈ
mahst ೉
mao ೊ
maor ೋ
mawth ೌ
max ್
maxlz ೎
maxng ೏
maxt ೐
may ೑
mehm ೒
mehnt ೓
mer ೔
mey ೕ
meyd ೖ
meyn ೗
mih ೘
mihlk ೙
miy ೚
miyn ೛
miyz ೜
mowst ೝ
muwd ೞ
naat ೟
naep ೠ
nah ೡ
naor ೢ
naw ೣ
nax ೤
nays ೥
nayt ೦
neh ೧
neym ೨
neymd ೩
neymz ೪
nih ೫
niy ೬
niyd ೭
niydz ೮
now ೯
nowz ೰
nuw ೱ
ow ೲ
owld ೳ
own ೴
paa ೵
paarts ೶
paents ೷
paet ೸
pah ೹
paol ೺
paxl ೻
paxlz ೼
paxn ೽
paxng ೾
paxt ೿
paxts ഀ
pehrd ഁ
pehts ം
per ഃ
perz ഄ
pihk അ
pihkt ആ
pihn ഇ
piy ഈ
piyt ഉ
pley ഊ
pleys ഋ
pleyz ഌ
poynt ഍
praek എ
prax ഏ
prayzd ഐ
prih ഑
prow ഒ
puh ഓ
puht ഔ
rae ക
rax ഖ
rayt ഗ
reh ഘ
rey ങ
rih ച
rihngz ഛ
riy ജ
riyd ഝ
riyl ഞ
row ട
ruw ഠ
saen ഡ
sahm ഢ
saorts ണ
sawn ത
sax ഥ
saxk ദ
saxm ധ
saxpt ന
saxz ഩ
say പ
sayd ഫ
sehd ബ
sehks ഭ
sehz മ
ser യ
sey ര
seym റ
sfaxl ല
shax ള
shaxn ഴ
shaxnz വ
shaxs ശ
shaxz ഷ
shihz സ
shiy ഹ
shiyd ഺ
shiyl ഻
shiyz ഼
shliy ഽ
show ാ
showd ി
shuwz ീ
sih ു
sihns ൂ
siy ൃ
siymd ൄ
siyn ൅
siyz െ
slih േ
sliy ൈ
smao ൉
smeh ൊ
smehl ോ
smehlz ൌ
smey ്
sniy ൎ
sow ൏
speh ൐
spuwn ൑
spuwnz ൒
staar ൓
staen ൔ
staend ൕ
staendz ൖ
stahk ൗ
staxng ൘
staxns ൙
ster ൚
stihng ൛
strahk ൜
straor ൝
straxkt ൞
striyt ൟ
stuhd ൠ
taap ൡ
taoks ൢ
tax ൣ
taxd ൤
taxl ൥
taxng ൦
taxnz ൧
taxs ൨
taym ൩
taymz ൪
teh ൫
tehl ൬
tehnd ൭
ter ൮
term ൯
tey ൰
teyk ൱
teyks ൲
thaot ൳
thawt ൴
thaxng ൵
thihng ൶
thihngk ൷
thihngz ൸
thruw ൹
tih ൺ
tihl ൻ
tiy ർ
tiynz ൽ
tow ൾ
towz ൿ
toy ඀
toyz ඁ
trax ං
tray ඃ
tuw ඄
twaar අ
twehn ආ
veh ඇ
ver ඈ
vow ඉ
vriy ඊ
waa උ
waacht ඌ
waan ඍ
waant ඎ
waaz ඏ
wah ඐ
wahn එ
wahnz ඒ
waht ඓ
wahts ඔ
wao ඕ
waok ඖ
waordz ඗
wax ඘
way ඙
wayld ක
wehl ඛ
wehn ග
wehr ඝ
wehrz ඞ
wer ඟ
werd ච
werdz ඡ
werk ජ
wey ඣ
weyv ඤ
weyz ඥ
wihch ඦ
wihdh ට
wihl ඨ
wiy ඩ
wiyv ඪ
wownt ණ
wuhd ඬ
wuhdnt ත
yae ථ
yaor ද
yeh ධ
yehs න
yuhrz ඲
yuw ඳ
yuws ප
yuwz ඵ
yuwzd බ
zaxn භ
zaxz ම
zhax ඹ
ziy ය
