lexical_classes	Type	prop	age
nouns	airplane	0.0560747663551	9
function_words	all	0.018691588785	9
adjectives	all gone	0.411214953271	9
nouns	animal	0.018691588785	9
function_words	another	0.018691588785	9
nouns	apple	0.121495327103	9
nouns	arm	0.0373831775701	9
adjectives	asleep	0.0560747663551	9
other	aunt	0.0841121495327	9
function_words	away	0.018691588785	9
other	baa baa	0.383177570093	9
other	baby	0.355140186916	9
other	babysitter	0.0747663551402	9
other	babysitter's name	0.158878504673	9
function_words	back	0.0560747663551	9
adjectives	bad	0.121495327103	9
nouns	ball	0.411214953271	9
nouns	balloon	0.130841121495	9
nouns	banana	0.242990654206	9
other	bath	0.523364485981	9
nouns	bathroom	0.11214953271	9
nouns	bathtub	0.271028037383	9
nouns	beach	0.018691588785	9
nouns	beads	0.0280373831776	9
nouns	bear	0.0841121495327	9
nouns	bed	0.214953271028	9
nouns	bedroom	0.0747663551402	9
nouns	bee	0.0280373831776	9
nouns	belly button	0.0934579439252	9
nouns	bib	0.177570093458	9
nouns	bicycle	0.00934579439252	9
adjectives	big	0.0841121495327	9
nouns	bird	0.168224299065	9
verbs	bite	0.214953271028	9
nouns	blanket	0.224299065421	9
nouns	block	0.121495327103	9
verbs	blow	0.0467289719626	9
adjectives	blue	0.00934579439252	9
nouns	book	0.383177570093	9
nouns	boots	0.0373831775701	9
nouns	bottle	0.523364485981	9
nouns	bowl	0.0560747663551	9
nouns	box	0.00934579439252	9
other	boy	0.0280373831776	9
nouns	bread	0.0934579439252	9
verbs	break	0.0	9
other	breakfast	0.233644859813	9
verbs	bring	0.0373831775701	9
adjectives	broken	0.00934579439252	9
nouns	broom	0.00934579439252	9
other	brother	0.233644859813	9
nouns	brush	0.0747663551402	9
nouns	bubbles	0.0654205607477	9
nouns	bug	0.00934579439252	9
verbs	bump	0.0560747663551	9
nouns	bunny	0.0934579439252	9
nouns	bus	0.0	9
nouns	butter	0.0	9
nouns	butterfly	0.0280373831776	9
nouns	button	0.0280373831776	9
other	bye	0.710280373832	9
nouns	cake	0.0280373831776	9
nouns	candy	0.0280373831776	9
nouns	car	0.205607476636	9
adjectives	careful	0.140186915888	9
nouns	carrots	0.0280373831776	9
nouns	cat	0.289719626168	9
nouns	cereal	0.177570093458	9
nouns	chair	0.0280373831776	9
nouns	cheek	0.0373831775701	9
nouns	cheerios	0.252336448598	9
nouns	cheese	0.0841121495327	9
nouns	chicken (animal)	0.0467289719626	9
nouns	chicken (food)	0.0467289719626	9
other	child	0.018691588785	9
other	child's own name	0.710280373832	9
other	choo choo	0.0560747663551	9
nouns	church	0.0280373831776	9
verbs	clean (action)	0.0747663551402	9
adjectives	clean (description)	0.0467289719626	9
nouns	clock	0.0	9
verbs	close	0.00934579439252	9
nouns	coat	0.018691588785	9
other	cockadoodledoo	0.018691588785	9
nouns	coffee	0.00934579439252	9
adjectives	cold	0.018691588785	9
nouns	comb	0.0467289719626	9
nouns	cookie	0.242990654206	9
nouns	couch	0.0560747663551	9
nouns	cow	0.0560747663551	9
nouns	cracker	0.224299065421	9
nouns	crib	0.196261682243	9
verbs	cry	0.140186915888	9
nouns	cup	0.252336448598	9
adjectives	cute	0.0747663551402	9
other	daddy	0.897196261682	9
verbs	dance	0.130841121495	9
adjectives	dark	0.0	9
other	day	0.0280373831776	9
nouns	deer	0.00934579439252	9
nouns	diaper	0.467289719626	9
other	dinner	0.168224299065	9
adjectives	dirty	0.0747663551402	9
nouns	dish	0.018691588785	9
nouns	dog	0.411214953271	9
nouns	doll	0.130841121495	9
other	don't	0.345794392523	9
nouns	donkey	0.0	9
nouns	door	0.0747663551402	9
function_words	down	0.0934579439252	9
verbs	draw	0.0	9
nouns	drawer	0.00934579439252	9
nouns	dress (object)	0.0373831775701	9
verbs	drink (action)	0.242990654206	9
nouns	drink (beverage)	0.252336448598	9
verbs	drive	0.0280373831776	9
adjectives	dry (description)	0.018691588785	9
nouns	duck	0.11214953271	9
nouns	ear	0.0560747663551	9
verbs	eat	0.355140186916	9
nouns	egg	0.0280373831776	9
nouns	elephant	0.018691588785	9
