aan ஹ
aanz ஺
aar ஻
ae ஼
ael ஽
aend ா
aent ி
aents ீ
aernt ு
aesk ூ
aet ௃
aez ௄
ah ௅
ahp ெ
ahs ே
ahv ை
ao ௉
aof ொ
aol ோ
aor ௌ
aw ்
awlz ௎
awt ௏
ax ௐ
axl ௑
axm ௒
axn ௓
axng ௔
axnz ௕
axt ௖
axz ௗ
ay ௘
ays ௙
baa ௚
baark ௛
baek ௜
baeth ௝
bah ௞
baht ௟
baol ௠
baw ௡
bax ௢
baxld ௣
baxlz ௤
baxn ௥
baxt ௦
bay ௧
beh ௨
behd ௩
beht ௪
ber ௫
berd ௬
berth ௭
berz ௮
bey ௯
bihg ௰
biy ௱
biynz ௲
biyz ௳
blaak ௴
blaaks ௵
bluw ௶
bownz ௷
boy ௸
brah ௹
brahsh ௺
breh ௻
brehk ௼
breyk ௽
brihng ௾
buhk ௿
byuw ఀ
chaxz ఁ
chehr ం
cherz ః
chih ఄ
chihl అ
chiy ఆ
daa ఇ
dae ఈ
dahk ఉ
dahn ఊ
dahz ఋ
dao ఌ
daog ఍
daor ఎ
dawn ఏ
dax ఐ
daxlz ఑
daxng ఒ
der ఓ
dey ఔ
dhaet క
dhaets ఖ
dhax గ
dhaxs ఘ
dhaxt ఙ
dhehm చ
dhehr ఛ
dher జ
dherz ఝ
dhey ఞ
dhiyz ట
dhow ఠ
dhowz డ
dih ఢ
dihd ణ
dihdnt త
dihdz థ
dihng ద
dihr ధ
diy న
diyz ఩
downt ప
draxn ఫ
drehs బ
drihngk భ
drowv మ
duw య
dwaxch ర
eh ఱ
ehg ల
ehgz ళ
ehl ఴ
ehls వ
ehn శ
ehs ష
er స
erz హ
faor ఺
fax ఻
faxl ఼
faxs ఽ
faxst ా
faynd ి
fey ీ
feys ు
fih ూ
fihkst ృ
fihng ౄ
fiyl ౅
fiyt ె
flaw ే
flay ై
flayz ౉
fown ొ
fownz ో
frah ౌ
friy ్
friyz ౎
fuhts ౏
fuwd ౐
gaa ౑
gaat ౒
gaon ౓
gaor ౔
gax ౕ
geh ౖ
gehn ౗
geht ౘ
ger ౙ
gerl ౚ
gerz ౛
gihv ౜
giy ౝ
giyz ౞
gow ౟
gowz ౠ
grae ౡ
griyn ౢ
guhd ౣ
guw ౤
guws ౥
hhae ౦
hhaed ౧
hhaem ౨
hhaend ౩
hhaeng ౪
hhaev ౫
hhaez ౬
hhah ౭
hhahm ౮
hhaw ౯
hhaws ౰
hhax ౱
hhaxv ౲
hhay ౳
hhaynd ౴
hheh ౵
hhehd ౶
hhehlp ౷
hhehr ౸
hher ౹
hhert ౺
hhihm ౻
hhihr ౼
hhihrz ౽
hhihz ౾
hhiy ౿
hhiyz ಀ
hhow ಁ
hhowl ಂ
hhowm ಃ
hhuw ಄
hhuwz ಅ
ihf ಆ
ihn ಇ
ihng ಈ
iht ಉ
ihts ಊ
ihz ಋ
iy ಌ
iyt ಍
jhaab ಎ
jhahm ಏ
jhahmpt ಐ
jhahst ಑
jhaxs ಒ
jheh ಓ
jhehf ಔ
kaar ಕ
kaech ಖ
kaen ಗ
kaent ಘ
kaep ಙ
kaet ಚ
kah ಛ
kahm ಜ
kao ಝ
kaol ಞ
kaold ಟ
kaw ಠ
kaxl ಡ
kaxng ಢ
kaxt ಣ
kaynd ತ
kerz ಥ
key ದ
keyks ಧ
keym ನ
kih ಩
kihs ಪ
kiyp ಫ
kiyz ಬ
klaxs ಭ
kliyn ಮ
klowdhz ಯ
klows ರ
klowz ಱ
krahnch ಲ
kraos ಳ
krax ಴
kray ವ
krey ಶ
kriym ಷ
kuhd ಸ
kwih ಹ
laa ಺
laats ಻
laef ಼
lahnch ಽ
lahv ಾ
lahvz ಿ
lax ೀ
laxng ು
lay ೂ
layk ೃ
leh ೄ
leht ೅
lehts ೆ
ler ೇ
leyk ೈ
lih ೉
lihft ೊ
lihvz ೋ
liy ೌ
liyz ್
low ೎
lowg ೏
luhk ೐
luwnz ೑
maa ೒
mae ೓
maech ೔
mah ೕ
maor ೖ
maws ೗
mawth ೘
max ೙
maxl ೚
maxlz ೛
maxn ೜
maxng ೝ
may ೞ
mayk ೟
mayn ೠ
mayt ೡ
mehm ೢ
mehs ೣ
mer ೤
mey ೥
meyd ೦
meyk ೧
mih ೨
miy ೩
miym ೪
miyn ೫
miyz ೬
moy ೭
muwn ೮
muwv ೯
naat ೰
nah ೱ
nahf ೲ
nahm ೳ
naw ೴
nax ೵
naxld ೶
naxng ೷
naxsht ೸
naxt ೹
nays ೺
nayt ೻
neh ೼
nehkst ೽
ners ೾
neym ೿
niy ഀ
niyd ഁ
now ം
nowz ഃ
noyz ഄ
ow അ
own ആ
ows ഇ
paa ഈ
paap ഉ
paar ഊ
paen ഋ
paents ഌ
paet ഍
pah എ
paxl ഏ
paxn ഐ
paxnd ഑
paxng ഒ
paxt ഓ
paylz ഔ
peh ക
per ഖ
perz ഗ
peyjh ഘ
pih ങ
pihk ച
piy ഛ
pliyz ജ
prih ഝ
puhl ഞ
puhsh ട
puht ഠ
puwl ഡ
rae ഢ
rax ണ
raxnjh ത
raxt ഥ
rayt ദ
rehd ധ
rehst ന
rer ഩ
rey പ
rih ഫ
rihng ബ
rihngz ഭ
riy മ
riyd യ
row ര
saaks റ
saen ല
sahm ള
sao ഴ
saort വ
saxm ശ
saxn ഷ
sayd സ
saydz ഹ
sehd ഺ
sehz ഻
sey ഼
seym ഽ
shael ാ
shaht ി
shaxs ീ
shert ു
shiy ൂ
shiyz ൃ
show ൄ
shuhd ൅
shuwz െ
sih േ
sihng ൈ
siht ൉
siy ൊ
skerz ോ
skihpt ൌ
skrae ്
skraem ൎ
skwer ൏
slih ൐
sliy ൑
sliyp ൒
smehl ൓
snaep ൔ
sniy ൕ
snow ൖ
sow ൗ
sprehd ൘
staarts ൙
staor ൚
ster ൛
stey ൜
steyk ൝
steyz ൞
strey ൟ
suw ൠ
suwn ൡ
swih ൢ
swihm ൣ
taa ൤
tahb ൥
tahch ൦
tao ൧
taok ൨
taw ൩
tax ൪
taxl ൫
taxn ൬
taxng ൭
taxnz ൮
tay ൯
taym ൰
teh ൱
tehl ൲
ter ൳
tern ൴
teyk ൵
thaengk ൶
thaxng ൷
thihngk ൸
thihngz ൹
throw ൺ
tiy ൻ
tiyz ർ
toyz ൽ
traeks ൾ
trahk ൿ
tray ඀
treyn ඁ
tuhk ං
tuw ඃ
uw ඄
vaxnz අ
ver ආ
waa ඇ
waach ඈ
waan ඉ
waant ඊ
waants උ
waaz ඌ
wahn ඍ
wahnz ඎ
waht ඏ
wahts ඐ
waw එ
wax ඒ
waxz ඓ
way ඔ
weh ඕ
wehl ඖ
wehn ඗
wehnt ඘
wehr ඙
wehrz ක
werd ඛ
werk ග
wey ඝ
weyl ඞ
weyt ඟ
wih ච
wihch ඡ
wihdh ජ
wihl ඣ
wiy ඤ
wiyl ඥ
wuhd ඦ
wuwps ට
yaa ඨ
yaarn ඩ
yae ඪ
yahm ණ
yaor ඬ
yeh ත
yehs ථ
yuw ද
yuwl ධ
yuws න
zaxnz ඲
zert ඳ
zerz ප
zhax ඵ
zih බ
zihp භ
ziy ම
zuw ඹ
