Freq	Type
709	you
319	i
271	oh
233	little
227	here
197	maggie
175	okay
163	yeah
147	baby
140	one
131	sweetie
120	girl
113	go
110	and
107	that
106	this
100	no
99	mommy
96	say
85	it
84	gotta
83	uhoh
80	look
77	wanna
73	we
73	gonna
68	that's
66	ready
61	a
60	patty
60	eat
58	vas
58	cake
58	doing
58	the
57	pie
56	me
56	ball
53	see
53	on
52	cat
51	what
51	hi
49	too
47	mama
46	peekaboo
45	there
44	more
42	huh
41	day
40	boy
40	apple
39	good
38	lemme
38	book
38	up
37	water
37	kitty
36	pretty
36	alright
35	now
35	off
34	pot
34	daddy
34	baba
33	elmo
32	way
32	stop
32	it's
32	do
31	piggy
31	going
30	nose
30	happy
30	for
29	very
29	mommy's
29	don't
28	three
28	sweetheart
28	stuff
27	something
27	my
27	out
26	nana
26	minute
25	oops
25	pee
25	feet
24	tired
24	hands
24	gimme
24	getting
23	vasie
23	sleepy
23	really
23	let's
23	kiss
23	is
23	i'm
22	matter
22	car
22	byebye
22	other
21	thing
21	stinky
21	green
21	bit
20	well
20	read
20	cup
20	come
19	ya
19	head
19	w
19	back
18	stink
18	puzzle
18	over
18	lee
18	like
18	hello
18	blue
18	bed
17	yes
17	swing
17	sleep
17	hot
17	floor
17	orange
16	whoops
16	where
16	sealie
16	nothing
16	moo
16	cookie
16	clothes
16	coffee
16	even
16	phone
16	any
16	them
16	cheese
16	being
16	our
15	work
15	toy
15	jesus
15	five
15	around
15	duck
15	dada
15	better
15	barbie
14	walking
14	so
14	sorry
14	rabbit
14	pear
14	milk
14	him
14	hair
14	dirty
14	down
14	bunny
13	wonderful
13	mess
13	mouth
13	girlie
13	fun
13	booboo
13	because
13	bottle
12	time
12	steps
12	sailboat
12	sun
12	somebody
12	people
12	only
12	nice
12	mine
12	cute
12	clean
12	house
12	honey
12	deep
12	door
11	yours
11	winky
11	walk
11	toes
11	top
11	silly
11	pooh
11	please
11	number
11	microphone
11	cold
11	granddaddy
11	daughter
11	bout
11	bag
11	uncle
10	yellow
10	weepie
10	tweety
10	toys
10	sweet
10	shoe
10	sockies
10	room
10	problem
10	lady
10	crayon
10	cracker
10	kinda
10	color
10	indigo
10	food
10	else
10	be
10	belly
10	batter
10	abcs
10	outside
9	yet
9	wide
9	walkie
9	want
9	talking
9	square
9	shirt
9	shine
9	song
9	real
9	raisins
9	pudding
9	probably
9	pan
9	night
9	nasty
9	move
9	money
9	lion
9	clock
9	k
9	computer
9	ear
9	in
9	hey
9	hand
9	friend
9	farm
9	dyeisha
9	but
9	box
9	body
9	already
9	all
9	under
8	wait
8	world
8	twenty
8	thirty
8	today
8	rainbow
8	mags
8	monster
8	lit
8	cool
8	can
8	hungry
8	foot
8	flowing
8	did
8	dog
8	duckie
8	bread
8	bird
8	balloons
8	balloon
8	icy
8	away
8	ouch
8	abc
7	yummy
7	window
7	oopsie
7	triangle
7	tinky
7	to
7	saying
7	circle
7	seven
7	some
7	roller
7	right
7	peepee
7	picture
7	pants
7	name
7	mean
7	making
7	messy
7	monkey
7	mad
7	crazy
7	juice
7	her
7	heavy
7	heart
7	grass
7	girla
7	fish
7	face
7	fountain
7	amen
7	these
7	chilly
7	birthday
7	birdie
7	about
6	works
6	toe
6	teeth
6	t
6	throwing
