Freq	Type
2334	you
698	the
571	that
552	and
545	this
538	here
500	i
467	it
445	little
440	don't
421	your
357	what
337	a
336	get
325	no
323	go
322	like
321	one
313	oh
309	maggie
300	see
286	to
282	do
276	are
275	say
269	for
267	my
264	be
258	we
257	all
256	man
242	look
235	gonna
226	baby
225	with
223	is
220	there
219	in
219	on
218	that's
217	girl
212	put
209	want
207	yeah
202	sweet
202	good
202	i'm
202	up
191	okay
183	can
179	of
178	mommy
175	where
172	some
169	have
166	let's
163	come
159	wanna
159	not
151	too
151	it's
142	just
140	so
137	play
134	more
134	gotta
133	out
130	hi
127	he
126	right
122	sweetie
122	me
122	eat
119	now
112	where's
112	stuff
112	at
111	big
110	she
109	how
105	them
103	ready
102	down
102	off
101	stop
98	what's
98	daddy
96	but
93	these
89	they
88	back
87	take
85	uhoh
85	got
84	pee
84	d
81	yes
78	thing
76	why
75	cat
75	her
74	over
73	make
73	ball
72	can't
71	boy
69	well
69	vas
69	book
69	or
66	think
65	try
65	him
64	because
63	if
62	pot
62	lemme
61	time
61	read
61	patty
61	mama
61	about
60	did
59	nose
59	cake
57	dyeisha
56	was
56	by
55	way
55	kitty
55	other
54	walk
54	sing
53	thank
52	when
51	water
51	three
50	huh
50	hand
50	heart
49	work
49	nice
49	love
49	double
49	apple
48	roll
48	head
48	give
48	then
47	peek
47	gee
46	clap
46	baba
45	very
45	throw
45	tell
44	should
44	from
44	elmo
43	t
43	talk
43	side
43	nana
43	let
43	could
43	bed
42	f
41	wash
41	sleep
41	room
40	tired
40	still
40	pretty
40	minute
40	clean
40	his
40	feet
39	oops
39	jesus
39	icy
39	i'll
38	will
37	stink
37	around
37	day
36	who
36	m
36	else
35	today
35	car
35	has
35	five
34	stay
34	sit
34	gimme
34	x
34	bit
34	any
33	would
33	wrong
33	pear
33	need
33	hot
32	really
32	cute
32	keep
32	hair
32	happy
32	blue
32	again
31	we'll
31	sorry
31	rabbit
31	piggy
31	mess
31	he's
31	green
30	self
30	song
30	people
30	new
30	even
30	didn't
29	color
29	jay
29	god
29	find
29	door
29	body
29	away
