aab ஹ
aad ஺
aan ஻
aanz ஼
aar ஽
ae ா
aef ி
aend ீ
aernt ு
aeskt ூ
aet ௃
ah ௄
ahn ௅
ahp ெ
ahs ே
ahv ை
aof ௉
aol ொ
aor ோ
awnd ௌ
awt ்
ax ௎
axk ௏
axl ௐ
axlz ௑
axn ௒
axng ௓
axns ௔
axnt ௕
axt ௖
axv ௗ
axz ௘
ay ௙
aym ௚
ayv ௛
ayz ௜
baa ௝
bae ௞
baek ௟
bah ௠
baht ௡
bawt ௢
bax ௣
baxl ௤
baxlz ௥
baxnd ௦
bay ௧
ber ௨
berd ௩
berdz ௪
berz ௫
bey ௬
bih ௭
bihld ௮
bihn ௯
biy ௰
blaaks ௱
bliy ௲
bowl ௳
boy ௴
brah ௵
brahsh ௶
buhk ௷
buhks ௸
byax ௹
chaxng ௺
chaxz ௻
chehr ௼
chehrz ௽
cher ௾
cherz ௿
cheyn ఀ
daagz ఁ
daal ం
dae ః
daen ఄ
dahmp అ
dahz ఆ
dahznt ఇ
dao ఈ
daog ఉ
daogz ఊ
daor ఋ
dawn ఌ
dax ఍
daxd ఎ
day ఏ
dehn ఐ
der ఑
dey ఒ
dhaen ఓ
dhaet ఔ
dhaets క
dhax ఖ
dhaxng గ
dhaxs ఘ
dhaxt ఙ
dhehm చ
dhehn ఛ
dhehr జ
dher ఝ
dherz ఞ
dhey ట
dhow ఠ
dhowz డ
dih ఢ
dihd ణ
dihdnt త
dihng థ
diy ద
downt ధ
drae న
duw ఩
eh ప
ehn ఫ
er బ
eyjh భ
faekt మ
faet య
fah ర
fahngk ఱ
faor ల
faorth ళ
fax ఴ
fay వ
fer శ
ferst ష
fihk స
fiyd హ
flaw ఺
flay ఻
flihp ఼
fown ఽ
fownz ా
fraeng ి
frahm ీ
freyd ు
fyuwzd ూ
gaa ృ
gaat ౄ
gax ౅
gaxn ె
geh ే
gehn ై
gehs ౉
geht ొ
gerl ో
gih ౌ
giy ్
gow ౎
gowz ౏
grow ౐
gruw ౑
