	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.08295	0	0	0	0	0	0	0	0	0	0	0.041475	0	0.0107527777778	0.00502727272727	0.0	0	0	0.069125	0.0	0	0	0.0	0.0	0	0	0	0.10023125	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0553	0	0	0	0	0.124425	0.124425	0	0.0158	0.0	0	0	0.069125	0	0	0	0.0	0	0	0	0.00921666666667	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0.096775	0	0	0	0.02765	0.0069125	0	0	0	0	0.0622125	0	0.0161291666667	0.0553	0.0	0	0	0.0230416666667	0	0.096775	0	0.0	0.0	0	0	0.00460833333333	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0.096775	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0158	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0
(u'ax',)	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.02765	0	0	0	0	0	0.013825	0.0622125	0	0	0	0.0207375	0.124425	0.0322583333333	0.0553	0	0	0	0	0	0.0161291666667	0	0.0	0.0	0	0	0	0.133641666667	0	0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.069125	0.0395	0.0	0.0345625	0.0	0.1036875	0	0	0.345625	0	0.2419375	0	0.0	0	0	0.069125	0.15553125	0.1036875	0.0	0	0.3110625	0.3110625	0	0.553	0	0.668208333333	0	0	0.0	0.483875	0	0	0	0	0.0	0	0.668208333333	0.6566875	0
(u'dh',)	0	0.002765	0	0	0	0.0025921875	0	0	0	0	0	0.0	0.0	0.0	0	0	0.124425	0	0	0	0	0	0	0	0	0.400925	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0.08295	0	0	0.13825	0.03318	0.19355	0	0	0	0.0553	0	0.08295	0	0	0	0	0.24885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0	0	0.456225	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0.171084375	0	0.354841666667	0	0	0	0	0.19009375	0	1	0	0.0	0	0	0	0.152075	1	0	0
(u'f',)	0	0	0	0.00230416666667	0	0.041475	0	0	0	0	0.096775	0.0	0	0	0	0	0.124425	0.1036875	0	0	0	0.0622125	0	0	0	0	0	0.069125	0.0	0	0.0553	0	0	0	0	0	0	0.1313375	0
(u'g',)	0	0	0	0	0	0.08295	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.207375	0.0	0	0	0	0	0	0	0.80185	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0	0	0	0	0.0	0	0	1	0	0.19355	0.451616666667	0	0	0	0.129033333333	0.0645166666667	0.870975	1	0	0	0.21774375	0.870975	0	1	0	0	0	0.19355	0	1	0	0.0	0.0	0	0	0	1	0.612908333333	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	0	0.0467923076923	0.0	0	0.0	0.065175	0	0	0	0	1	0.0	0	0.0	0	0	0.2281125	0.11405625	0.0	0	0.6843375	0.195525	0.212905	0	0	1	0	0	0	0.354841666667	0	0.0	0	0	0	0.152075	1	1	0
(u'l',)	0.0483875	0	0.0	0	0.0	0.058065	0.15484	0.354841666667	0	0.290325	0.3387125	0.0	0	0.0	0	0	0	0.483875	0.0	0.0	0	0	0	0	0	0.2806475	0	0	0.0	0.3387125	0	0.0	0	0.0	0.0	0	1	0	0
(u'm',)	0.01036875	0	0	0.08295	0.0	0.124425	0.0737333333333	0.456225	0	0	0	0.0	0	0.0	0.08295	0	0.74655	0.41475	0.0	0	0.74655	0	0.290325	0.6636	0	1	0	0.207375	0	0.58065	0	0.0	0.0	0	0.0	0	0	0	0
(u'n',)	0.0645166666667	0.3871	0.0	0	0.0	0.1451625	0.516133333333	1	0	0.0483875	0.135485	0	0	0.0	0	0	0.58065	0.96775	0	0	0.870975	1	0	0	0	0.467745833333	0	0	0	0.677425	0	0.0	0	0	0.0	0	1	1	0.0
(u'ng',)	0	0	0	0	0.0	0.4977	1	0	0	0	0	0.0	0	0	0	0.1659	0	1	0	0	0.2133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
(u'ow',)	0	0.124425	0	0	0	0	0.4977	1	0	0.24885	0.290325	0	0	0	0	0	0.5599125	0.622125	0	0	0.101802272727	0.5599125	0	0.1422	0	1	0	0.207375	0	0.4354875	0	0	0	0	0	0.124425	1	1	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.400925	0	0
(u'p',)	0	0.0553	0.0	0	0	0.02765	0	0	0.0345625	0	0	0.0	0.0	0	0	0	0	0.41475	0.0	0	0	0.08295	0	0	0	0.80185	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'r',)	0	0.9401	0.0	0	0	0.235025	0.47005	1	0	0	0.8225875	0.0	0	0	0.156683333333	0	0.705075	1	0.0	0.0	1	1	0.548391666667	0	0	0	0	0	0	1	0	0.0	0	0	0.0	0.235025	1	1	0.0
(u's',)	0.0645166666667	0	0.0	0	0	0.041475	1	1	0	0.58065	0.16935625	0.0	0	0.0	0	0	0.870975	0.7258125	0.0	0	0.870975	0.870975	0.677425	0.3871	0	1	0	0.19355	0.0	0.225808333333	0	0.0	0	0	0	0	1	1	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u't',)	0.24885	1	0.0	0.4977	0	0.08295	1	1	0	0.4977	0.4354875	0	0.0	0.0	0.9954	0	0.6399	0.3555	0.0	0	1	1	0.69678	1	0	1	0	1	0.0	0.0870975	0	0.0	0.0	0	0.0	0	1	1	0
(u'th',)	0	0	0	0	0	0.013825	0	0	0	0	0	0	0	0	0	0	0	0.05184375	0	0	0	0.124425	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.13825	0.553	0	0	0	0.207375	0	0	0	0.2765	0.19355	0	0	0	0.2765	0.13825	0	0	0	0	0.24885	1	0.19355	0.368666666667	0	0	0	0.69125	0	0.2419375	0	0.0	0.0	0	0	0.069125	0.308403846154	1	0.0
(u'v',)	0	0	0	0	0	0.0622125	0	0.456225	0	0	0.1451625	0.0	0.0	0	0	0	0.1866375	0.622125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3940125	0
(u'w',)	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'y',)	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'z',)	0.08295	0.6636	0	0	0	0.1659	0.6636	1	0	0.4977	0.23226	0	0	0	0.3318	0	0.24885	0.3110625	0	0	0	0.74655	0.290325	0.2212	0	0	0	0.2765	0	0	0.6636	0.0	0	0	0	0	1	1	0
