aa ஹ
aan ஺
aar ஻
ae ஼
aef ஽
aek ா
aem ி
aen ீ
aend ு
aesk ூ
aet ௃
aez ௄
ahp ௅
ahv ெ
ao ே
aof ை
aol ௉
aor ொ
aw ோ
awt ௌ
ax ்
axjhd ௎
axk ௏
axl ௐ
axlz ௑
axm ௒
axn ௓
axng ௔
axp ௕
axs ௖
axv ௗ
axz ௘
ay ௙
ayl ௚
aym ௛
baa ௜
baek ௝
bah ௞
bahg ௟
baht ௠
baol ௡
baot ௢
bawt ௣
bax ௤
baxl ௥
bay ௦
beh ௧
beht ௨
ber ௩
berd ௪
bey ௫
bih ௬
bihld ௭
bihlt ௮
bihn ௯
biht ௰
biy ௱
blaak ௲
blaaks ௳
bliy ௴
boy ௵
brahsh ௶
briyz ௷
buhk ௸
buhks ௹
buw ௺
buwm ௻
chax ௼
chaxng ௽
chehr ௾
cher ௿
chihk ఀ
chihks ఁ
chiyz ం
chuw ః
daa ఄ
daagz అ
daal ఆ
dae ఇ
daen ఈ
dah ఉ
dahb ఊ
dahk ఋ
dahks ఌ
dahz ఍
dahznt ఎ
dao ఏ
daog ఐ
daor ఑
dawn ఒ
dax ఓ
daxd ఔ
dey క
dhaen ఖ
dhaet గ
dhaets ఘ
dhax ఙ
dhaxs చ
dhaxt ఛ
dhehm జ
dhehn ఝ
dhehr ఞ
dher ట
dherz ఠ
dhey డ
dhihs ఢ
dhiyz ణ
dhow త
dhowz థ
dihd ద
dihdnt ధ
diy న
diyz ఩
dow ప
downt ఫ
drihngk బ
duw భ
eh మ
ehl య
ehls ర
ehm ఱ
ehn ల
ehs ళ
er ఴ
ey వ
eych శ
faest ష
faol స
faor హ
faxn ఺
faynd ఻
fehl ఼
fer ఽ
feys ా
fih ి
fihng ీ
fiyd ు
fiyl ూ
flae ృ
flaep ౄ
flay ౅
fown ె
frahm ే
frih ై
fuw ౉
gaa ొ
gaat ో
gaon ౌ
geh ్
gehn ౎
gehs ౏
geht ౐
ger ౑
gerl ౒
gerz ౓
geym ౔
gihv ౕ
giy ౖ
giyz ౗
gow ౘ
griy ౙ
guhd ౚ
guw ౛
hhaa ౜
hhaard ౝ
hhaat ౞
hhaed ౟
hhaem ౠ
hhaet ౡ
hhaev ౢ
hhaez ౣ
hhah ౤
hhahg ౥
hhahng ౦
hhaw ౧
hhaws ౨
hhax ౩
hhay ౪
hhaynd ౫
hhehd ౬
hhehr ౭
hher ౮
hheyt ౯
hheyts ౰
hhihm ౱
hhihr ౲
hhihrz ౳
hhiht ౴
hhihz ౵
hhiy ౶
hhow ౷
hhowd ౸
hhowl ౹
hhowm ౺
hhuw ౻
hhuwz ౼
ih ౽
ihf ౾
ihn ౿
ihr ಀ
iht ಁ
ihts ಂ
ihz ಃ
iy ಄
iych ಅ
iyt ಆ
jhahst ಇ
jher ಈ
jhiy ಉ
jhuws ಊ
kaaz ಋ
kae ಌ
kaen ಍
kaent ಎ
kaet ಏ
kaets ಐ
kahm ಑
kaol ಒ
kaors ಓ
kaoz ಔ
kaw ಕ
kax ಖ
kaxd ಗ
kaxl ಘ
kaxn ಙ
kaxnd ಚ
kaxng ಛ
kaxt ಜ
kaynd ಝ
ker ಞ
key ಟ
kih ಠ
kihd ಡ
kihs ಢ
kiy ಣ
klaoth ತ
klaym ಥ
klows ದ
klowz ಧ
kowm ನ
kreh ಩
krey ಪ
kuhd ಫ
kuhdnt ಬ
kwaek ಭ
laat ಮ
laats ಯ
laef ರ
laep ಱ
laest ಲ
lao ಳ
lax ಴
laxs ವ
layk ಶ
layks ಷ
laykt ಸ
layzd ಹ
leh ಺
lehk ಻
lehs ಼
leht ಽ
lehts ಾ
ler ಿ
lih ೀ
liy ು
liyv ೂ
liyz ೃ
low ೄ
lown ೅
luhk ೆ
luwn ೇ
lyuw ೈ
maa ೉
mahch ೊ
mahng ೋ
maor ೌ
max ್
maxl ೎
maxlz ೏
mayt ೐
mehm ೑
mey ೒
mih ೓
mihlk ೔
miy ೕ
miyn ೖ
miyz ೗
mowst ೘
muw ೙
naak ೚
naakt ೛
naat ೜
nae ೝ
nah ೞ
nahts ೟
naw ೠ
nax ೡ
naxt ೢ
nay ೣ
nays ೤
nayt ೥
neh ೦
neymz ೧
niy ೨
niyd ೩
now ೪
nuw ೫
ow ೬
own ೭
paa ೮
paart ೯
pah ೰
paor ೱ
paxl ೲ
paxlz ೳ
paxn ೴
paxng ೵
paxnz ೶
paxt ೷
peht ೸
per ೹
peyjh ೺
pih ೻
