	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.049	0	0.0784	0	0	0	0	0.0	0	0	0	0	0.1568	0.0196	0.0112	0.0084	0	0	0	0.0	0.0147	0	0	0.00816666666667	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0.0049	0.0784	0	0	0	0	0.0	0	0	0	0	0.0784	0	0.0784	0.00678461538462	0.0	0	0	0	0.003675	0	0	0.00222727272727	0	0	0	0.0	0	0.3136	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0294	0.2352	0.3528	0	0	0	0.0	0	0	0	0	0	0	0.0147	0.05292	0.0	0	0	0.0	0	0	0	0.018375	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0392	0	0.0784	0	0	0	0	0	0	0	0	0	0	0.049	0.00163333333333	0	0	0	0.2058	0.3136	0
(u'ax',)	0	0	0	0	0	0	0	0.0735	0	0.0784	0.1764	0	0	0	0.0	0.0392	0.147	0	0	0.2352	0.00245	0.02352	0.0378	0.0	0	0	0.0	0	0.133933333333	0	0.0163333333333	0	0	0	0.0	0	0.9408	0
(u'ay',)	0	0.2352	0	0	0	0	0.2744	0	0	0	0	0.03136	0.0	0	0.0	0	0.784	0	0	0.6272	0.0784	0.12544	0.7056	0	0	0	0	0.0784	1	0	0.130666666667	0	0	0	0	0.8232	0.836266666667	0.0
(u'b',)	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'ch',)	0	0	0	0	0	0.0196	0	0	0	0	0	0.0261333333333	0	0	0	0	0	0	0	0	0	0.0522666666667	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'd',)	0.0147	0	0.0	0	0	0.0294	0.2058	0.0735	0	0	0	0.1176	0	0	0.0	0	0.147	0.0168	0.0	0	0	0	0.1323	0	0.0588	0	0	0	0.6027	0	0.0735	0	0	0.0	0	0	0.0855272727273	0
