aa ஹ
aan ஺
aanz ஻
aap ஼
aar ஽
ae ா
aem ி
aen ீ
aend ு
aent ூ
aents ௃
aet ௄
aez ௅
ah ெ
ahn ே
ahng ை
ahp ௉
ahs ொ
ahv ோ
ao ௌ
aof ்
aol ௎
aor ௏
aw ௐ
awnd ௑
awt ௒
ax ௓
axbks ௔
axl ௕
axn ௖
axng ௗ
axr ௘
axt ௙
axz ௚
ay ௛
ayd ௜
aym ௝
ayz ௞
baa ௟
baaks ௠
bae ௡
baek ௢
baeth ௣
bah ௤
baht ௥
baolz ௦
bawt ௧
bax ௨
baxl ௩
baxlz ௪
bay ௫
beh ௬
behd ௭
beht ௮
ber ௯
berd ௰
bey ௱
bihg ௲
bihld ௳
biy ௴
biych ௵
biyz ௶
blaak ௷
blaaks ௸
blaek ௹
blow ௺
bluw ௻
bowl ௼
bowt ௽
boy ௾
boyz ௿
brahsh ఀ
brehk ఁ
brihjh ం
brihng ః
buhk ఄ
buhks అ
buw ఆ
buwbz ఇ
chehr ఈ
chehrz ఉ
cherz ఊ
chihl ఋ
chihps ఌ
chiy ఍
daak ఎ
daal ఏ
daalz ఐ
dae ఑
dah ఒ
dahb ఓ
dahk ఔ
dahks క
dahn ఖ
dahz గ
dahznt ఘ
dao ఙ
daog చ
daogz ఛ
daor జ
dawn ఝ
dax ఞ
daxng ట
day ఠ
dayl డ
der ఢ
dey ణ
dhaet త
dhaets థ
dhax ద
dhaxs ధ
dhaxt న
dhehm ఩
dhehn ప
dhehr ఫ
dher బ
dherz భ
dhey మ
dheyv య
dhiyz ర
dhowz ఱ
dih ల
dihd ళ
dihdnt ఴ
dihg వ
diy శ
diyz ష
downt స
draa హ
drae ఺
drahm ఻
drahmz ఼
drao ఽ
drax ా
draxn ి
drehs ీ
drihngk ు
duw ూ
dwaxch ృ
eh ౄ
ehf ౅
ehgz ె
ehl ే
ehls ై
ehm ౉
ehn ొ
ehr ో
ehs ౌ
er ్
erz ౎
ey ౏
eych ౐
eyd ౑
eyt ౒
faen ౓
fahn ౔
faol ౕ
faor ౖ
fax ౗
faxnt ౘ
faxnts ౙ
faxst ౚ
fay ౛
fayn ౜
faynd ౝ
fayv ౞
fehl ౟
fer ౠ
ferst ౡ
fey ౢ
feys ౣ
fih ౤
fihks ౥
fihng ౦
fiyd ౧
fiyl ౨
fiyt ౩
flaor ౪
flaw ౫
flay ౬
flayz ౭
fown ౮
friy ౯
fuwd ౰
gaa ౱
gaan ౲
gaat ౳
gaxn ౴
gay ౵
geh ౶
gehn ౷
gehs ౸
geht ౹
gehts ౺
ger ౻
gerl ౼
gerz ౽
giy ౾
giyz ౿
gow ಀ
gowz ಁ
grae ಂ
graeb ಃ
grawlz ಄
greyt ಅ
griy ಆ
griyn ಇ
guhd ಈ
hhae ಉ
hhaed ಊ
hhaend ಋ
hhaeng ಌ
hhaev ಍
hhaez ಎ
hhah ಏ
hhahm ಐ
hhahng ಑
hhaors ಒ
hhaw ಓ
hhaws ಔ
hhax ಕ
hhaxm ಖ
hhaxv ಗ
hhay ಘ
hheh ಙ
hhehlp ಚ
hhehr ಛ
hher ಜ
hhihm ಝ
hhihr ಞ
hhihrz ಟ
hhihz ಠ
hhiy ಡ
hhiyl ಢ
hhiyz ಣ
hhowl ತ
hhowld ಥ
hhowm ದ
hhuw ಧ
hhuwz ನ
ihf ಩
ihn ಪ
ihrz ಫ
iht ಬ
ihts ಭ
ihz ಮ
iy ಯ
jhae ರ
jhahmp ಱ
jhahst ಲ
jhax ಳ
jhaxk ಴
jhaxn ವ
jhay ಶ
jheh ಷ
jhuw ಸ
jhuws ಹ
kaar ಺
kaaz ಻
kae ಼
kaen ಽ
kaent ಾ
kah ಿ
kahm ೀ
kahmz ು
kahp ೂ
kahps ೃ
kaht ೄ
kaol ೅
kaold ೆ
kaorn ೇ
kaw ೈ
kax ೉
kaxl ೊ
kaxlz ೋ
kaxm ೌ
kaxng ್
kaynd ೎
kayt ೏
kerd ೐
key ೑
keyjh ೒
keyks ೓
keym ೔
kih ೕ
kihn ೖ
kiy ೗
kiyz ೘
kliynz ೙
klowdhz ೚
klowz ೛
kow ೜
kowm ೝ
kowz ೞ
kraa ೟
krax ೠ
kray ೡ
krey ೢ
kreyn ೣ
krih ೤
kuh ೥
kuhd ೦
kyuw ೧
laats ೨
laep ೩
lah ೪
lahnch ೫
lax ೬
laxn ೭
laxng ೮
laxp ೯
lay ೰
layk ೱ
layks ೲ
laykt ೳ
leht ೴
lehts ೵
ler ೶
lerz ೷
ley ೸
lih ೹
liy ೺
liysh ೻
low ೼
luh ೽
luhk ೾
luhks ೿
luwnz ഀ
lyer ഁ
maa ം
maar ഃ
mae ഄ
maeml അ
maen ആ
mahch ഇ
mahng ഈ
maor ഉ
maws ഊ
mawth ഋ
max ഌ
maxng ഍
maxz എ
may ഏ
mayk ഐ
mayt ഑
mehm ഒ
mey ഓ
meyk ഔ
meyks ക
mih ഖ
mihlk ഗ
miy ഘ
miyt ങ
miyz ച
mow ഛ
mowst ജ
muwv ഝ
naach ഞ
naat ട
naen ഠ
nah ഡ
nahf ഢ
naw ണ
nax ത
naxng ഥ
naxsh ദ
nays ധ
nayt ന
neh ഩ
nehkst പ
