	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0
(u'ah',)	0	0	0	0	0	0	0.98685	0.018275	0.0	0	0	0	0	0	0	0	0	0	0	0	0.127925	0	0.0166136363636	0.03655	0.0	0	0	0.0121833333333	0	0.0281153846154	0	0.00812222222222	0	0	0	0.0	0	1	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0.0	0
(u'ax',)	0	0	0	0	0	0	0	0.00522142857143	0	0.0456875	0	0	0	0	0.0731	0.0121833333333	0.0731	0	0.0	0	0.03198125	0.03198125	0.02284375	0.0104428571429	0.0	0	0	0.00456875	0.0	0.0456875	0.0	0.0121833333333	0.018275	0	0	0.0	0.1187875	0.731	0.0
(u'ay',)	0.76755	0	0	0	0.0	0.0274125	1	0	0	0.10965	0	0	0.0	0	0.2193	0	0.2193	0.25585	0.0	0.2193	0.10965	0.10965	0.0288552631579	0.10965	0	0	0	0	0	0	0	0.0243666666667	0.054825	0	0	0	0.712725	1	0.0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0.18275	0.0	0	0.0	0	0	0	0	0.91375	0.274125	0	0.0	0.0	0.18275	0	0.54825	0.213208333333	0	0.18275	0.639625	0	0	0	0	0.03655	0	0.091375	0	0.91375	0	0.18275	0	0	0.04386	0	0.29696875	0	0.0
(u'dh',)	0	0.002284375	0	0	0	0.000961842105263	0	0	0	0	0	0.0	0	0	0	0	0	0.127925	0.0	0	0	0	0.0456875	0	0	0.10965	0	0	0	0	0	0	0	0	0	0	0	1	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0.054825	0	0.1370625	0.32895	0	0	0	0	0	0.32895	0	0.0	0	0.383775	0	0.274125	0.03655	0	0	0	0	0	0.1370625	0	0.054825	0	0	0	0	0	1	0.0
(u'ey',)	0	0	0	0.201025	0	0	0	0.201025	0	0	0.201025	0	0	0	0	0.40205	0	0	0	0	0.234529166667	0	0.143589285714	0	0	0.201025	0	0	0	1	0	0	0	0	0	0	1	0	0.0
(u'f',)	0	0.03655	0.0	0.00498409090909	0	0.054825	0.37006875	0	0	0	0.32895	0	0.0	0.0	0	0	0	0.03198125	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.10965	0	0	0	0	0	1	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	1	0.383775	0	0.1918875	0	0.1918875	0	0	0.0	1	0	0	0	0	0.76755	0.76755	1	0	0.0	0	1	0.537285	0	0.383775	0	0	0	0.03198125	0	1	0	0.076755	0	0	0	0.0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0	0.0121833333333	0.0	0.10965	0	0.0156642857143	1	0	0	0	0.32895	0.0	0	0.0	0	0	0.6579	0.1918875	0.0	0	0	0.1918875	0.54825	0	0	0.6579	0	0	0.0	0.274125	0	0.04386	0.10965	0.0	1	0	1	0.731	0
(u'l',)	0.127925	0.0731	0.0	0.018275	0	0.0091375	0.140978571429	0.0121833333333	0	0.091375	0.03655	0.0	0.0	0.0	0.0243666666667	0	0.2193	0.05117	0.0	0	0.25585	0.25585	0.18275	0	0	0.054825	0	0.018275	0	0.3655	0	0	0.03655	0.0	0	0	0	1	0.0
(u'm',)	0.895475	0.127925	0	0.0639625	0.0	0.0426416666667	0.230265	0.127925	0	0	0	0.0	0	0.0	0.0852833333333	0.127925	0.1918875	0.895475	0.0	0	0	0	0	0.0426416666667	0	0.76755	0	0	0	0.639625	0	0.25585	0.127925	0	0.5117	0	1	1	0
(u'n',)	0.127925	0	0	0	0.0	0.00794565217391	1	0	0	0.121833333333	0.54825	0	0	0.0	0	0.3655	0.54825	0	0.0	0	0	0	0.456875	0	0	0.0996818181818	0.0	0.18275	0.0	0.91375	0	0.013537037037	0	0	1	0	1	1	0
(u'ng',)	0	0.2193	0	0.10965	0.0	0.02193	0	0	0	0.54825	0.6579	0	0	0	0.2193	0.0168692307692	0.6579	0.383775	0	0	0.15351	0	0.18275	0	0	0	0	0	0	0.3655	0	0.04386	0	0	0	0	0	1	0
(u'ow',)	0	0	0	0	0	0.274125	1	0	0	1	1	0	0	0	0	0	1	0.3198125	0	0	0.15990625	1	0	0.0274125	0	0	0	0.274125	0	0.6853125	0	0	0	0	0	0.0	1	1	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
(u'p',)	0	0.274125	0.0	0	0	0.274125	0	0.274125	0	0	0.822375	0.0	0	0.0	0	0	0	0.639625	0.0	0	1	0.239859375	0	0	0	0	0	0	0.0	1	0	0.54825	0	0.0	1	0	0	0	0
