	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157875	0	0.0114818181818	0	0	0	0.031575	0	0	0	0.0405964285714	0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0491166666667	0.00280666666667	0	0	0	0.00300714285714	0	0.010525	0	0.0157875	0	0	0	0.0	0	0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'ax',)	0	0	0.0	0	0	0	0	0.03946875	0	0.0789375	0	0	0	0	0.0789375	0.2105	0	0	0	0	0.368375	0.032890625	1	0.01315625	0.0	0	0	0	0.368375	0.0052625	0	0.157875	0.6315	0	0	0.0	0.3789	0.894625	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.0473625	0	0	0	0	0.094725	0.0421	0.0280666666667	0.1105125	0	0.0	0.1105125	0.03946875	0.3315375	0.0421	0	0	0	0	0.1105125	0.0157875	0	0.07104375	0	0	0	0	1	0.13419375	0.0
(u'b',)	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0	0.0175416666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0.0	0	0	0.0280666666667	0.196466666667	0.1263	0	0	0.6736	0	0.421	0	0.0842	0	0	0.196466666667	0.0842	0	0	0	0.8841	0.3368	0	0.140333333333	0	0	0	0	0	0.108257142857	0.3368	0	0.0	0	0.5052	0.477133333333	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0	0	0	0	0	0.010525	0.014735	0.06315	0	0.06315	0.0842	0.10525	0	0.0	0.1263	0	0	0	0.02105	0	0	0.052625	0	0	0	0	0	0	0	0.02105	0	0	0	0	0	0	0	0.35785	0.0
(u'ey',)	0	0	0	0	0	0	0	0.18945	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.663075	0.0842	0	0	0	0	0	0.031575	0.06315	0	0	0	0	0	0	0	0
(u'f',)	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0
(u'hh',)	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	0	0.27786	0.0	0	0	0.347325	0	1	0.0	0.5209875	1	0	1	0	0.130246875	0.4631	1	1	0	0	0	1	0.60781875	1	0	0	0	0.347325	1	0.1736625	0	0.347325	1	0	0	0	1	0	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0	0	0.0	0.073675	0	0	0.073675	0	0	0	0.0421	0	0	0.0	0	0	0	0.0368375	0	0	0	0.0263125	0	0	0	0	0	0	0	0.010525	0.010525	0	0	0	0.0	0	0	0	0
(u'l',)	0	0.0421	0.0	0.02105	0.0	0.00421	0.0491166666667	0.031575	0	0.02105	0	0.02105	0	0.0	0.1263	0	0	0.0491166666667	0.010525	0.0	0.14735	0	0.44205	0	0	0	0	0.00263125	0	0.00701666666667	0	0.18945	0	0	0.0	0	0.7578	0	0.0
(u'm',)	0.0	0	0	0	0	0.00478409090909	0.0216691176471	0.157875	0	0	0.2105	0.263125	0	0.0	0	0.2105	0.421	0.368375	0.0032890625	0.0	0.368375	0	0	0	0	0	0	0	0	0	0.0263125	0	0.6315	0	0.0	0	0	0.894625	0.0
(u'n',)	0.0	0.115775	0.0	0	0.0	0.02894375	0	0	0	0.013893	0.23155	0.192958333333	0	0.0	0	0	0	0.810425	0.0385916666667	0	0	0.578875	0.303909375	0	0	0.0321597222222	0	0	0	0.115775	0	0.0385916666667	0	0	0.0	0	0	0	0.0
(u'ng',)	0	0.1684	0.0	0	0	0	0	0.1263	0	0.1263	0.3368	0.2105	0	0	0	0	0	0.14735	0	0	0.2947	0.2105	0.44205	0	0	0	0	0	0	0	0	0.3789	0	0	0	0	0	0	0.0
(u'ow',)	0	0	0	0	0	0.0473625	0	0	0	0	0.7578	0	0	0	0	0	0	0	0	0	0.132615	0.11840625	1	0.03789	0	0	0	0.094725	0	0.094725	0	0	0	0	0	0	1	1	0
(u'oy',)	0	0	0	0	0	0	0	0.031575	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0	0	0	1	0.0	0.178925	0	0.536775	0	0	0	0	1	0	0	0	0	1	0	0	0	0.4473125	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
(u'r',)	0	0.2526	0.0	0.8841	0	0.05052	0.8841	0.3789	0	0.15156	1	0.114818181818	0	0.0	0	0	0	1	0.00902142857143	0	0	0	0.7578	1	0	0.6315	0	0.1263	1	0	0	0	0	0	0	0	1	0.7157	0
(u's',)	0	0	0.0	0.2947	0.0	0.0140333333333	0	0	0	0.1263	0.3368	0	0	0	0	0.0842	0	0.2947	0.00701666666667	0	0.2947	0	0.8841	0.0842	0	0	0	0.02105	0.2947	0.0421	0	0.0270642857143	0	0	0	0	0.7578	0.7157	0
(u'sh',)	0	0	0	0	0	0.00300714285714	0	0	0	0	0	0	0	0	0	0	0	0	0.02105	0	0	0	0.44205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.0	0.9683	0.0	0	0	0.0151296875	0.42363125	0.3631125	0	0	0.48415	0	0.806916666667	0.0	1	0.9683	0.38732	1	0.00931057692308	0	0	0.403458333333	1	0	0	0.6051875	0	0	0	0.0220068181818	0	0.54466875	0	0	0.0	0	1	0.685879166667	0
(u'th',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
