	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.6455	0	0.290475	0	0	0	0	0.1291	0.0430333333333	0	0	0	0.1291	0.0860666666667	0.096825	0.0	0.0358611111111	0	0	0	0.2582	0.00717222222222	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'ae',)	0	0.3873	0	0	0	0	0.355025	0.161375	0	0.032275	0.5164	0	0	0	0.032275	0.0161375	0	0	0	0.0215166666667	0.00993076923077	0.096825	0.0	0.00388855421687	0.0	0	0	0	0.0484125	0.0507178571429	0.419575	0.0	0	0	0	0.0	0.548675	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0.06455	0	0.32275	0	0	0.5164	0	0	0	0	0.00922142857143	0	0	0	0	0.032275	0.0042097826087	0	0	0	0	0	0	0.00461071428571	0.355025	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0.2582	0.71005	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.2582	0	0	0	0	0	1	1	0.0	0	0	0	0	0	1	0.0	0
(u'ax',)	0	1	0.2582	0	0	0.5164	1	0.161375	0.0	0.07261875	1	0.5164	0	0.0	0.0860666666667	0.0737714285714	0.184428571429	1	0	0.5164	0.0368857142857	0.0180139534884	0.0	0.0614761904762	0.0	0.0860666666667	0	0.172133333333	0.19365	0.218476923077	0	0.0	0.0	0	0	0.0	0.548675	1	0.0	0
(u'ay',)	0	0.3873	0	0	0	0.19365	0.5325375	0	0	0.21785625	0.7746	0	0.0	0	0	0.096825	0.096825	1	0.0	0	0.03873	0.07261875	0.0	0.2420625	0	0	0	0	0.290475	0.133134375	1	0.0	0.0	0	0	0	1	0	0	0
(u'b',)	0.19365	0.3873	0.019365	0	0.02420625	0.02420625	0.355025	0	0	0	0	0.06455	0.0	0.0	0	0	0.484125	0.152153571429	0.0	0	0.3873	0.0414964285714	0	0	0	0.096825	0.0	0	0.1452375	0	0	0	0	0.0	0.0	0	0	0	0	0
(u'ch',)	0.19365	0	0	0	0	0.0484125	0	0.96825	0	0	0	0.19365	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
(u'd',)	0.139858333333	0.559433333333	0.0364847826087	0.0	0.2097875	0.083915	1	0.699291666667	0	0.419575	0.959028571429	0.419575	0.0	0.0	0.83915	0.279716666667	0.349645833333	0.355025	0.0	0.83915	0.33566	0.251745	0.0	1	0	0.139858333333	0	0.419575	0.114429545455	1	1	0.0	0.0	0	0.0	0	0.7132775	1	0.0	0
