	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0
(u'ae',)	0	0.868525	0	0	0	0.74445	1	0	0	0	0.703091666667	0	0	0	0	0.0620375	1	0	0	0	0.24815	0	0.620375	0.0181573170732	0	0	0	0.015509375	0	1	0	0.00516979166667	0.0620375	0	0	0.0	0	1	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.2836	0	0.053175	0	0	0	0	0	0.31905	0	0.00443125	0.017725	0	0	0	0.4963	0	0
(u'ax',)	0	0.868525	0	0	0.0	0	0	0.0	0.0	0.09305625	0	0	0	0	0.0413583333333	0.124075	0.620375	1	0	0	0.0551444444444	0.0709	0.103395833333	0.03545	0.0	0	0	0.0137861111111	0.124075	0.03489609375	0	0.0206791666667	0	0	0	0.0	1	0	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0.0	0.0236333333333	0.301325	0	0.0	0.0709	0.03545	0.0709	0.3545	0	0	0	0.00787777777778	0	0.0590833333333	0.10635	0	0	0	0	0	0.06381	0	0.00393888888889	0.00709	0	0	0	0.9926	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0.17725	0	0	0	0	0.0265875	0	0	0	0	0	0.088625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4963	0	0
(u'd',)	0.4963	0	0.24815	0.0620375	0.0	0.0827166666667	0	0.0	0	0	1	0	0.0	0.24815	0	0.24815	0.620375	0.413583333333	0.0	0	0	0.4963	0.206791666667	0	0	0.46085	0	0	0.0413583333333	0.5583375	0	0.03101875	0	0	0.0413583333333	0	1	1	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'er',)	0.2127	0	0	0	0	0.31905	0	0	0	0.10635	0.903975	0.159525	0	0.10635	0	0.10635	0.53175	0	0.0	0	0	0.4254	0	0.31905	0	0	0	0	0	0.478575	0	0.017725	0	0	0	0	1	0	0.0
(u'ey',)	0	0	0	0	0	1	0	0.0	0.0	0.7799	0	0	0	0	0	0.7799	0	0	0	0.259966666667	0.0866555555556	1	1	1	0	0	0	0.38995	0	1	0.38995	0.38995	0	0	0	0	1	1	0
(u'f',)	0	0.124075	0.03545	0.00161136363636	0	0.10635	0.088625	0	0	0	0	0.053175	0.0	0	0	0	0	0	0	0	0	0.1418	0	0	0	0.46085	0	0	0	0	0	0	0	0	0	0	0	0.2038375	0
(u'g',)	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	0.4963	0	0	0	0.0	0.74445	0	0.0	0	0.372225	1	0.74445	0.0	0	0.124075	0.165433333333	0.620375	0.413583333333	0.0	0.4963	0.124075	0.2836	0.3101875	0.74445	0	1	0	0.24815	0.74445	0.74445	0.24815	0.04963	0	0	0.24815	0	1	0	0.0
(u'jh',)	0	0.9926	0.0945333333333	0	0	0.8508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1418	0	1	0	0
(u'k',)	0	0.124075	0.1152125	0.0768083333333	0.0	0.0987535714286	0.768083333333	0	0	0	0.783445	0	0.0	0.018434	0.0768083333333	0.46085	0.46085	0.46085	0.0	0	0	0.9217	1	0	0	1	0	0	0.3456375	0.1152125	0	0.046085	0	0.0	0	0	1	1	0
(u'l',)	0.017725	0.0137861111111	0.03545	0.0088625	0	0.10635	0.0118166666667	0	0.0	0.017725	0	0.017725	0	0.00709	0.0088625	0.03545	0.17725	0.03545	0.0	0	0.0709	0	0.0443125	0	0	0.153616666667	0	0.017725	0.017725	0.159525	0	0	0	0.0	0	0	0	0.2038375	0.0
(u'm',)	0.2836	0.330866666667	0.2836	0.0472666666667	0.0	0.4254	0.202571428571	0.0	0	0	1	0.4254	0	0.02836	0.1418	0	0.709	0.3545	0.0	0.2836	0.5672	0	0.709	0	0	0	0	0.0709	0	0.6381	0	0.0709	0.1418	0	0	0	1	0	0
(u'n',)	0.2836	0.330866666667	0	0	0.0	0.2836	0.5672	0	0	0.08508	0.2836	0.8508	0	0.5672	0.2836	0.2836	0.315111111111	0	0.0	0.5672	1	0	1	0	0	0.433741176471	0	0.1418	0	0.8508	0	0.0135047619048	0	0	0.2836	0.0	0	1	0.0
(u'ng',)	0	0	0	0	0.0	0.31905	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0.0472666666667	0	0	0.6381	0	0	0	0.053175	0	0.95715	0	0	0	0	0	0	0	0	0.0
(u'ow',)	0.4254	0.74445	0	0	0	0	0	0.0	0	0.6381	0.60265	0	0.0	0	0	0	0.3545	0	0	0	0.0184956521739	0.2127	0.088625	0.0709	0	0	0	0.03545	0	0.95715	0	0	0.10635	0	0	0	0.74445	1	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03545	0	0	0	0	0.4963	0	0.0
(u'p',)	0	1	0.2127	0	0	0.31905	0	0	0	0	0	0.6381	0.0	0.1418	0	0	0	1	0.0	0	0	0.34032	0.53175	0	0	1	0	0	0.31905	0.95715	0	0	0	0.0	0.2127	0	0	1	0
