aan ஹ
aar ஺
aeb ஻
aek ஼
aen ஽
aend ா
aesk ி
aeskt ீ
aet ு
aez ூ
ah ௃
ahn ௄
ahp ௅
ahv ெ
aof ே
aol ை
aor ௉
awnd ொ
awt ோ
ax ௌ
axb ்
axf ௎
axk ௏
axn ௐ
axng ௑
axp ௒
axr ௓
axt ௔
axv ௕
axz ௖
ay ௗ
ayd ௘
ayl ௙
aym ௚
ayv ௛
baa ௜
bae ௝
bah ௞
bahnch ௟
baht ௠
baord ௡
baot ௢
bawt ௣
bax ௤
baxl ௥
baxng ௦
bay ௧
ber ௨
bih ௩
bihg ௪
bihn ௫
biht ௬
biy ௭
blaaks ௮
bliy ௯
boy ௰
boyz ௱
brahsh ௲
braod ௳
brihng ௴
brihngz ௵
browk ௶
buhk ௷
buhks ௸
chaorz ௹
chax ௺
chaxn ௻
chaxng ௼
chehr ௽
chehrz ௾
cherz ௿
chih ఀ
daagz ఁ
daal ం
daalz ః
dah ఄ
dahn అ
dahz ఆ
dahznt ఇ
dao ఈ
daog ఉ
daor ఊ
dawn ఋ
dax ఌ
daxlz ఍
daxng ఎ
deh ఏ
dehn ఐ
der ఑
dert ఒ
dey ఓ
deyl ఔ
deyz క
dhaet ఖ
dhaets గ
dhax ఘ
dhaxs ఙ
dhaxt చ
dhehm ఛ
dhehn జ
dhehr ఝ
dher ఞ
dherz ట
dhey ఠ
dhihs డ
dhiyz ఢ
dhow ణ
dhowz త
dih థ
dihd ద
dihdnt ధ
dihng న
dihsh ఩
diy ప
diyz ఫ
downt బ
draap భ
drae మ
drihngk య
duw ర
dwaxch ఱ
eh ల
ehk ళ
ehls ఴ
ehm వ
ehnd శ
er ష
erz స
ey హ
eyjh ఺
eyt ఻
faa ఼
faekt ఽ
fahn ా
fahngk ి
faor ీ
faorm ు
fax ూ
faxkt ృ
fay ౄ
fehd ౅
ferst ె
fert ే
fey ై
fih ౉
fiy ొ
fiyd ో
fiydz ౌ
flaw ్
fown ౎
fownz ౏
frahm ౐
frehndz ౑
fuwd ౒
gaa ౓
gaat ౔
gaxn ౕ
gaxnz ౖ
geh ౗
gehn ౘ
gehs ౙ
geht ౚ
gehts ౛
gerl ౜
gerlz ౝ
giy ౞
gow ౟
grae ౠ
greyt ౡ
guhd ౢ
guw ౣ
gyer ౤
hhaat ౥
hhaed ౦
hhaef ౧
hhaen ౨
hhaend ౩
hhaev ౪
hhaez ౫
hhaw ౬
hhaws ౭
hhaxz ౮
hhehlp ౯
hhehlps ౰
hhehr ౱
hher ౲
hherz ౳
hhihr ౴
hhowm ౵
hhuwz ౶
