	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0
(u'aw',)	0.6552	0	0	0	0.0	0	0.5824	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1092	0.7644	0	0	0	0	0	0.4368	0	0.01092	0	0	0	0	1	0.9828	0
(u'ax',)	0	0	0	0	0	0	0	0.0208	0	0.002925	0.0156	0	0	0	0.0	0.039	0	0	0.0	0	0.0364	0.00367058823529	0.00936	0.00352258064516	0.0	0	0	0.1248	0	0.00430344827586	0	0.0052	0	0	0	0	0.2964	0	0.0
(u'ay',)	0	0	0	0	0	0	0.3744	0.0624	0	0.02808	0	0.0	0	0	0	0.468	0.234	0	0	0	0.13104	0.03744	0.0117	0.0546	0	0	0	0.3744	0.0	0.0624	0	0.0117	0.0351	0	0.0468	0.0	0.4446	0	0.0
(u'b',)	0.0468	0	0	0	0.0	0.0624	0.0416	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0208	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'ch',)	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0.0	0.0	0.0273	0.0	0.2184	0	0.4368	0	0	0.1092	0	0.0	0.0	0	0	1	0.15288	0.0	0	0	0.2184	0.1092	0.7644	0	0.7098	0	0	0.0	0.4368	0	0.1092	0	0	0.00728	0	1	0	0
