	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.373333333333	0.07	0	0	0	0	0	0	0	0	0	0	0	0.186666666667	0	0.245	0.0133333333333	0	0	0	0	0.0315	0.63	0	0.0175	0	0	0	0	0	0	0.186666666667
(u'ae',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0.00875	0	0	0	1	0.63	0.07875	0	0.00197183098592	0	0	0	0.01	0	1	0.0466666666667
(u'ah',)	0	0	0	0	0	0	0	0.56	0.105	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.098	0.0466666666667	0	0	0	0.2625	0	0	0	0.00583333333333	0	0	0	0.004375	0	0	0.28
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0.0
(u'aw',)	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0.0	0
(u'ax',)	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0.0
(u'ay',)	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0.0
(u'b',)	0	0	0.0	0.0	0.0	0.0	0.2275	0	0	0	0	0	0	0.00269230769231	0	0	0	0.0175	0.0025	0	0	0.0175	0	0	0	0	0.0	0	0.1575	0	0	0	0	0	0.0	0	0	0	0
(u'ch',)	0	0.0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.175	0.035	0.0	0	0.0	0.0	0.455	0	0	0	0.035	0	0.0	0	0	0	0	0.00333333333333	0.00291666666667	0	0	0.105	0.1225	0.0233333333333	0	0.0233333333333	0	0.105	0.315	0.315	0.035	0.07	0	0	0.0	0	0	0.28875	0.28
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0
(u'ey',)	0	0.04375	0	0	0	0.0	0	0.466666666667	0.2625	0	0.4375	0	0	0	0.0	0	0.13125	0	0	0	0.02	0.2625	0.6125	0	0	0	0	0	0	0	0	0.04375	0	0	0	0.0875	1	0	0.35
(u'f',)	0	0.00777777777778	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0.315	0	0	0	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	1	0.0291666666667	0	0.0	0.0	0.0	0	0	0	1	0.328125	0	0	0	0.0	1	0.7875	0.2625	0	0	0.15	0.7875	1	0.35	0	0	0	1	1	0.7875	0	0.525	0	0	0	0	1	0	0.42
(u'jh',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	1	0.0375	0.0	0.0	0.0	0.0	0	0	0	0	0.21875	1	0.0	0.021	0	0	0.7875	0.035	0.2625	0	0	0.13125	0.735	0	0	0	0	1	0	0.4725	0.2625	0.525	0	0	0	0	0.853125	1	0
(u'l',)	1	0.185	0	0	0	0.0	1	1	0	1	1	1	0.0	0.215833333333	0.0	1	1	0.185	0.0925	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0.0	0	0	1	1	1
(u'm',)	0.126388888889	0.056875	0	0.0	0.0	0.0	0.5915	0	0	0	1	0	0	0.11375	0	0.455	0	0.151666666667	0.01625	0	0.606666666667	0	0	0	0	0.91	0	0	0	0	0	0.455	0.2275	0	0	0	0	0	0
(u'n',)	0.7	0.14	0	0	0	0.0	1	1	0	0.164347826087	0.161538461538	0	0.0	0	0.0	0	1	0	0.21	0	1	0	1	0	0	0.152727272727	0	0	0	0	0	0.056	0	0	0	0	0	1	1
(u'ng',)	0.2625	0	0.0	0	0.0	0.0	0	1	0	0	0.175	0	0	0	0	0.63	0.315	0.105	0	0	0.28	0	0	0	0	0.42	0	0	0.945	0	0	0.105	0.105	0	0	0	0.2275	0	0.42
(u'ow',)	0.525	0.21	0	0	0	0.0	1	0	0	0.945	0	0	0	0	0.0	0	0.315	0	0	0	0.84	0.063	0.735	0.084	0	0	0	0	0	0.945	0	0.21	0	0	0	0.021	0.6825	1	0.28
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0
(u'p',)	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0	0.0	0	0	0	0	0
(u'r',)	0.233333333333	0.0933333333333	0.0	0.0	0	0.0	0.303333333333	1	0	0.114545454545	0.7	0.0763636363636	0	0	0.0	0.42	0.42	0.056	0.14	0.28	0.186666666667	0	0.49	0.56	0	0.08	0	1	0	0.42	0	0	0	0	0	0	0	0.513333333333	1
(u's',)	0.2625	0.105	0.0	0.0	0	0.0	0.34125	0	0	0	0.525	0.21	0	0.07	0	0.315	0.07875	0.105	0.0116666666667	0	0.21	0	0	0	0	0.21	0	0.7875	0.4725	0	0	0.0110526315789	0	0	0.0	0	0.34125	1	0
(u'sh',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u't',)	1	0.120555555556	0.0	0.0	0.0	0.0	1	1	0	0.9765	0.5425	0.0856578947368	0	0.361666666667	0.0	1	0.406875	0.0723333333333	0.0319117647059	1	0	0	1	1	0	1	0	1	0.6975	0.30515625	0	1	0.180833333333	0	0.0	0	0.8815625	1	1
(u'th',)	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.14	0.07	0	0	0	0.0	0	0	0	0.252	0	0	0	0	0	0.105	0.42	0.0933333333333	0	0	0.124444444444	0.105	0.326666666667	0.112	0	0	0	1	1	0.14	0	0.0933333333333	0.14	0	0	0	0.2275	1	0
