	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0.0	0
(u'ae',)	0	0	0	0	0	0	1	0.2311875	0	0.215775	0.55485	0	0	0	0.0	0.0	0	0	0	0	0.03699	0	0	0.0313474576271	0.0	0	0	0.02311875	0.0462375	0.11559375	0.660535714286	0.003853125	0	0	0	0.0	0	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0.92475	0	0	0	0	0	0	0	0.43155	0	0	0.0	0	0	0	0	0	0	0	0	0.06165	0	0.2055	0	0	0	0	0	0.0256875	0	0.00725294117647	0.0	0	0	0	0.30825	0	0	0
(u'ax',)	0	1	0	0	0	1	1	0.0603097826087	0.0	0.129465	0.66582	0	0	0	0.0	0.0	0.33291	0	0.0	0.277425	0.0426807692308	0.0106701923077	0.030825	0.1387125	0.0	0.4161375	0	0.018495	0.1387125	0.0660535714286	0	0.055485	0	0	0	0.0	0.2600859375	1	0.0	0
(u'ay',)	0	0	0	0	0	0.18495	0	0	0.0	0.199176923077	0	0	0	0	0	0.0	1	0	0	0.18495	0.0194684210526	0	0.0264214285714	0.462375	0	0	0	0.18495	0	0	1	0.06165	0.0	0	0	0	0.92475	1	0.0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0
(u'ch',)	0	0.462375	0.030825	0	0	0.1233	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
(u'd',)	0.0	0.277425	0.00474230769231	0.057796875	0.0	0.0672545454545	1	0.92475	0.0	1	0.158528571429	0.0	0.0	0.0	0.0	0.0	0.3699	0.0528428571429	0.0	0.18495	0.1233	0.06165	0.092475	0.462375	0	0.055485	0	0.18495	0.092475	0.30825	0.840681818182	0.0411	0	0	0.0	0	0.55485	1	0.0	0
(u'dh',)	0	0.0132107142857	0	0	0	0.00162236842105	0	0	0	0	0.03699	0.0	0.0	0.0	0	0	0	0	0	0	0.06165	0	0	0	0	0.0132107142857	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	1	0	0	0.0	0.19728	1	0.411	0	0.17262	0.7398	0.0	0.0	0.0	0.0	0.0	0.7398	0.7398	0	0	0.2466	0.2466	0.2466	1	0	0.2466	0	0.1233	0	0.1233	1	0.09864	0	0	0	0	1	0	0.0	0
(u'ey',)	0.0	1	0	0	0	0.1233	0	0.10275	0	0.8631	1	0.0	0	0	0	0.0	0.2466	0	0	0.06165	0.0411	0.030825	0.030825	0	0	0	0	0.06165	0	0.2055	1	0.2466	0	0	0	0	0.462375	1	0	0
(u'f',)	0	1	0.06165	0.0474230769231	0	0.1644	1	0	0	0	0	0	0.0	0	0	0	0	0.3699	0.0	0	0	0.0176142857143	0	0	0	0.092475	0	0	0.030825	0	0	0.2466	0	0	0	0	0	1	0	0
