aa ஹ
aan ஺
aar ஻
ae ஼
aen ஽
aend ா
aet ி
aez ீ
ah ு
ahn ூ
ahp ௃
ahv ௄
ao ௅
aof ெ
aol ே
aor ை
awnd ௉
awt ொ
ax ோ
axk ௌ
axks ்
axl ௎
axn ௏
axng ௐ
axns ௑
axnt ௒
axp ௓
axt ௔
axz ௕
ay ௖
ayd ௗ
ayl ௘
aylz ௙
aym ௚
ayv ௛
ayz ௜
baeg ௝
baek ௞
bah ௟
baht ௠
baol ௡
bawt ௢
bax ௣
baxl ௤
baxt ௥
bay ௦
ber ௧
berth ௨
berz ௩
bey ௪
beys ௫
bihg ௬
bihld ௭
bihn ௮
biht ௯
biy ௰
biyn ௱
biynz ௲
blaaks ௳
bliy ௴
bluw ௵
bowlz ௶
boy ௷
boyz ௸
brah ௹
brahsh ௺
brehk ௻
brih ௼
brihngz ௽
buhk ௾
buhks ௿
buw ఀ
byax ఁ
byuw ం
chaa ః
chehr ఄ
cherd అ
cheyn ఆ
cheynjhd ఇ
daagz ఈ
daal ఉ
daalz ఊ
dae ఋ
dahks ఌ
dahn ఍
dahz ఎ
dahznt ఏ
daog ఐ
daogz ఑
dawn ఒ
dax ఓ
daxd ఔ
daxn క
daxng ఖ
daxnz గ
daxst ఘ
dehn ఙ
der చ
dey ఛ
deyz జ
dhaen ఝ
dhaet ఞ
dhaets ట
dhax ఠ
dhaxng డ
dhaxs ఢ
dhaxt ణ
dhehm త
dhehmz థ
dhehn ద
dhehr ధ
dher న
dherz ఩
dhey ప
dhiyz ఫ
dhow బ
dhowz భ
dih మ
dihd య
dihdnt ర
dihz ఱ
diy ల
diyz ళ
downt ఴ
drae వ
drao శ
drayv ష
drihngk స
duw హ
eh ఺
ehgz ఻
ehls ఼
ehm ఽ
ehmz ా
ehn ి
ehnd ీ
er ు
erd ూ
erz ృ
eych ౄ
faa ౅
faor ె
fax ే
faxk ై
faxl ౉
faxn ొ
faxst ో
fay ౌ
fayn ్
fehd ౎
fer ౏
ferst ౐
fey ౑
feys ౒
fih ౓
fiy ౔
fiydz ౕ
fiylz ౖ
flaw ౗
fown ౘ
fraa ౙ
frahm ౚ
frahnt ౛
frehnd ౜
frehndz ౝ
gaa ౞
gaar ౟
gaat ౠ
gahs ౡ
gax ౢ
gaxn ౣ
geh ౤
gehn ౥
geht ౦
gehts ౧
ger ౨
gerl ౩
gih ౪
glaes ౫
gow ౬
gowldz ౭
gowz ౮
grae ౯
greyt ౰
grow ౱
guhd ౲
gyax ౳
gyer ౴
hhaard ౵
hhaat ౶
hhae ౷
hhaed ౸
hhaend ౹
hhaet ౺
hhaev ౻
hhaez ౼
hhaeznt ౽
hhaw ౾
hhaws ౿
hhax ಀ
hhaynd ಁ
hhehd ಂ
hhehr ಃ
hher ಄
hhihz ಅ
hhiy ಆ
hhiyz ಇ
hhowm ಈ
ih ಉ
ihf ಊ
ihk ಋ
ihn ಌ
iht ಍
ihts ಎ
ihz ಏ
iy ಐ
iyt ಑
iyts ಒ
jhahst ಓ
jhax ಔ
jhaxn ಕ
jheh ಖ
jhiy ಗ
jhiynz ಘ
kaa ಙ
kaar ಚ
kaarz ಛ
kaaz ಜ
kae ಝ
kaen ಞ
kaent ಟ
kaep ಠ
kaet ಡ
kaets ಢ
kah ಣ
kahmz ತ
kahp ಥ
kao ದ
kaol ಧ
kaold ನ
kaolz ಩
kaoz ಪ
kawn ಫ
kawnt ಬ
kax ಭ
kaxn ಮ
kaxng ಯ
kaxnz ರ
kaynd ಱ
kayndz ಲ
kehr ಳ
kerd ಴
key ವ
keyk ಶ
keyks ಷ
keym ಸ
kih ಹ
kihdz ಺
kiy ಻
kiyz ಼
klaxng ಽ
kley ಾ
klihr ಿ
kliy ೀ
kliynz ು
klow ೂ
kow ೃ
kowm ೄ
kowmz ೅
kreh ೆ
kuh ೇ
kuhd ೈ
kuhdnt ೉
kway ೊ
kwayt ೋ
kyuw ೌ
kyuwt ್
laa ೎
laarjh ೏
laat ೐
laest ೑
lah ೒
lahvz ೓
laong ೔
lax ೕ
laxng ೖ
layk ೗
layks ೘
laykt ೙
leh ೚
lehs ೛
leht ೜
lehts ೝ
ler ೞ
lern ೟
lerz ೠ
lih ೡ
lihfts ೢ
liy ೣ
low ೤
luhk ೥
luhks ೦
lyer ೧
maa ೨
maam ೩
mae ೪
maes ೫
mah ೬
mahch ೭
mahnth ೮
mahnths ೯
maor ೰
maws ೱ
max ೲ
maxlz ೳ
maxng ೴
may ೵
