Freq	Type
1879	you
665	it
663	the
653	are
651	a
518	that
516	oh
504	your
485	no
470	and
454	to
450	what
431	here
388	i
333	ew
331	in
315	there
309	we
308	this
297	xavier
286	is
282	me
278	go
261	okay
255	get
250	uhoh
249	you'd
248	yeah
246	it's
237	not
225	up
223	on
222	i'm
218	for
211	be
208	look
205	one
198	that's
193	have
191	good
181	see
180	all
179	just
171	of
170	can
167	put
162	want
162	got
156	do
155	yes
154	at
153	my
152	where
146	girl
144	don't
137	with
135	down
127	but
127	back
126	so
126	he
121	hey
120	stop
120	eat
119	now
117	out
114	you'll
114	read
113	say
113	boy
111	use
111	come
109	sweet
108	hi
107	let's
101	mom
101	i'd
100	was
98	some
95	what's
91	like
86	play
86	huh
86	did
84	wanna
84	too
82	well
82	bout
81	book
81	ice
77	them
76	right
76	pooh
76	more
76	babe
75	how
74	bottle
73	stuff
73	she
72	would
72	think
72	lit
72	i'll
71	big
70	little
69	why
69	can't
67	thing
66	or
66	off
63	sweetie
63	mag
62	wheat
62	mouth
61	lee
61	they
59	way
59	eve
59	hair
57	toy
57	pee
57	mommy
54	will
54	oops
53	sit
53	l
53	day
52	yell
52	if
51	maggie
50	when
50	said
49	rye
49	leave
49	then
47	time
47	ease
47	gonna
47	eggs
46	take
46	own
46	kit
45	t
44	fit
44	d
44	by
44	ann
43	his
43	here's
43	her
43	n
43	these
42	over
42	other
41	knee
41	him
40	throw
40	god
39	win
39	ready
39	head
39	there's
38	still
38	make
38	cat
38	juice
38	fuss
38	bear
37	fun
37	eight
36	went
36	try
36	toys
36	nice
36	let
35	stand
35	key
35	from
34	watch
34	rain
34	purr
34	nose
34	mean
34	give
34	alright
33	yum
33	where's
33	baby
33	buzz
32	york
32	sleep
32	had
31	whoops
31	wash
31	aunt
30	we'll
30	were
30	thank
30	nope
30	hand
30	done
30	alone
29	teeth
29	side
29	old
29	mkay
29	mommy's
29	love
29	he's
29	hat
29	first
28	wait
28	sure
28	could
28	green
28	beat
27	sing
27	sir
27	miss
27	who
26	pie
26	pat
26	kitty
26	cup
26	bird
26	bad
25	pick
25	colors
25	else
25	block
25	been
25	bed
25	byebye
24	part
24	need
24	lot
24	ear
24	“i'll
24	fat
24	books
24	blue
24	ball
23	yourself
23	talk
23	should
23	pen
23	much
23	lay
23	keep
23	cake
23	jeez
23	hold
23	does
23	bread
22	work
22	walk
22	turn
22	tell
22	share
22	reach
22	fin
22	face
22	doesn't
22	bib
21	yet
21	wide
21	tooth
21	such
21	long
21	cord
21	cough
21	hands
21	hard
21	fingers
21	find
21	those
21	bit
21	add
20	three
20	looks
20	cool
20	clean
20	fall
20	bell
20	bite
20	our
19	through
19	roll
19	rejoice
19	mile
19	hurt
19	has
19	drink
19	though
19	chair
19	as
18	wow
18	ring
18	praise
18	please
18	new
18	milk
18	leap
18	help
18	gets
18	food
18	s
18	dye
18	better
18	eyes
17	oopsie
17	tick
17	spoon
17	she's
17	self
17	pay
17	happy
17	any
17	bay
17	bath
17	bar
17	about
16	uhuh
16	while
16	ty
16	start
16	night
16	lord
16	care
16	calm
16	feel
16	fur
16	egg
16	double
16	because
16	icy
16	almost
16	act
15	wants
15	told
15	top
15	stay
15	pull
15	noise
15	isn't
15	hit
15	hungry
15	hot
15	going
15	guess
15	bo
15	base
15	birth
15	orange
15	under
14	ya
14	ways
14	took
14	things
14	taste
14	tall
14	ray
14	ride
14	maybe
14	mess
14	looked
14	came
14	great
14	feet
14	finger
14	air
14	didn't
14	ah
13	you've
13	we'd
13	smile
13	sun
13	pour
13	made
13	matter
13	loves
13	lunch
13	quit
13	heard
13	heart
13	friend
13	chick
13	bless
13	am
12	won't
12	water
12	oop
12	toe
12	tastes
12	shoe
12	plane
12	nap
12	mittens
12	lean
12	keys
12	king
12	job
12	house
12	gave
12	full
12	five
12	fight
12	bah”
12	us
11	yours
11	word
11	wasn't
11	tear
11	suit
11	slow
11	sigh
11	really
11	page
11	move
11	man
11	late
11	lie
11	joke
11	eats
11	hide
11	found
11	funny
11	aim
11	ever
11	doing
11	door
11	bring
11	i've
10	which
10	white
10	today
10	store
10	she'd
10	real
10	poop
10	push
10	peep
10	note
10	neat
10	next
10	nana
10	must
10	clap
10	kiss
10	jesus
10	whole
10	honey
10	fruit
10	fly
10	fine
10	than
10	children
10	blow
10	black
10	belly
10	box
10	aren't
9	yumyum
9	wouldn't
9	wind
9	world
9	tired
9	touch
9	sick
9	sent
9	wrong
9	run
9	name
9	makes
9	may
9	lord's
9	crack
9	hope
9	gone
9	friends
9	phone
9	feed
9	chew
9	bet
9	bat
9	again
9	op
8	warm
8	soon
8	soak
8	snort
8	shirt
8	soft
8	ran
8	might
8	mine
8	chris
8	cry
8	cold
8	close
8	kind
8	called
8	home
8	hang
8	goes
8	glad
8	fell
8	aid
8	dear
8	chin
8	boom
8	asked
8	after
7	we've
7	weird
