aan ஹ
aap ஺
aar ஻
ae ஼
aend ஽
aernt ா
aet ி
aets ீ
ah ு
ahn ூ
ahp ௃
ahv ௄
aol ௅
aw ெ
awnd ே
awt ை
ax ௉
axl ொ
axlz ோ
axn ௌ
axng ்
axs ௎
axt ௏
axv ௐ
ay ௑
ayl ௒
aym ௓
baaks ௔
baek ௕
bah ௖
baht ௗ
baw ௘
bawt ௙
bax ௚
bay ௛
bayt ௜
beh ௝
behd ௞
behst ௟
beht ௠
ber ௡
bey ௢
bih ௣
bihg ௤
bihld ௥
biy ௦
blaak ௧
blaaks ௨
blaek ௩
boy ௪
boyz ௫
brahsh ௬
brax ௭
breyk ௮
brihng ௯
buhk ௰
buhks ௱
buw ௲
buwm ௳
byuw ௴
chehr ௵
chehrz ௶
cher ௷
chuw ௸
daa ௹
daal ௺
daaz ௻
dae ௼
dah ௽
dahb ௾
dahk ௿
dahks ఀ
dahmp ఁ
dahz ం
dahznt ః
dao ఄ
daog అ
daor ఆ
dawn ఇ
daxd ఈ
day ఉ
der ఊ
dey ఋ
deyz ఌ
dhaet ఍
dhaetl ఎ
dhaets ఏ
dhax ఐ
dhaxs ఑
dhaxt ఒ
dhehm ఓ
dhehn ఔ
dhehr క
dher ఖ
dherz గ
dhey ఘ
dhiyz ఙ
dhow చ
dhowz ఛ
dihd జ
dihdnt ఝ
dihngk ఞ
dihr ట
diy ఠ
downt డ
draapt ఢ
duw ణ
eh త
ehg థ
ehks ద
ehls ధ
ehn న
ehnd ఩
ehs ప
er ఫ
erz బ
ey భ
eych మ
eyt య
faar ర
fae ఱ
fahn ల
faor ళ
fawnd ఴ
faxl వ
faynd శ
fayv ష
fehl స
fey హ
fihng ఺
fiyl ఻
flaw ఼
flay ఽ
fown ా
fownz ి
frehndz ీ
fuht ు
gaa ూ
gaat ృ
gaon ౄ
gay ౅
gehn ె
geht ే
ger ై
gerl ౉
gerz ొ
gey ో
geyl ౌ
geym ్
gihnz ౎
giy ౏
giyz ౐
gow ౑
gowz ౒
goyn ౓
grae ౔
griyn ౕ
guhd ౖ
hhaan ౗
hhaard ౘ
hhaart ౙ
hhae ౚ
hhaed ౛
hhaend ౜
hhaeng ౝ
hhaev ౞
hhaevnt ౟
hhaez ౠ
hhah ౡ
hhahmp ౢ
hhaw ౣ
hhaws ౤
hhawz ౥
hhax ౦
hhaxv ౧
hhay ౨
hhehlp ౩
hhehr ౪
hhey ౫
hhihm ౬
hhihr ౭
hhihrz ౮
hhihz ౯
hhiy ౰
hhiyz ౱
hhow ౲
hhowl ౳
hhowm ౴
hhuw ౵
hhuwz ౶
ih ౷
ihf ౸
ihn ౹
ihr ౺
ihrz ౻
iht ౼
ihts ౽
ihz ౾
ihznt ౿
iy ಀ
jhae ಁ
jhahm ಂ
jhahst ಃ
jheh ಄
jhehn ಅ
jhuw ಆ
kaam ಇ
kae ಈ
kaech ಉ
kaen ಊ
kaent ಋ
kah ಌ
kahm ಍
kahmz ಎ
kahp ಏ
kao ಐ
kaol ಑
kaw ಒ
kawnt ಓ
kax ಔ
kaxng ಕ
kaxt ಖ
kayz ಗ
kehr ಘ
key ಙ
keyjh ಚ
keym ಛ
keyz ಜ
kih ಝ
kihs ಞ
kiy ಟ
kiyz ಠ
klows ಡ
klowz ಢ
km ಣ
kow ತ
kowm ಥ
kuhd ದ
kyuw ಧ
laest ನ
lax ಩
laxng ಪ
layk ಫ
leh ಬ
lehft ಭ
lehg ಮ
leht ಯ
lehts ರ
ler ಱ
lerz ಲ
ley ಳ
lih ಴
lihn ವ
liy ಶ
low ಷ
luhk ಸ
luhks ಹ
luhkt ಺
luwnz ಻
maa ಼
mae ಽ
mah ಾ
mahch ಿ
maor ೀ
max ು
maxl ೂ
maxng ೃ
may ೄ
mehm ೅
mehs ೆ
mey ೇ
meyd ೈ
