	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.1445625	0	0	0	0	0	0	0.032125	0.0	0	0	0	0.06425	0.032125	0.0214166666667	0.06425	0.0271826923077	0	0	0	0.0160625	0.0	0	0	0.00267708333333	0	0	0	0	0.32125	0	0.00267708333333	0
(u'ae',)	0	0	0	0	0	0	0	0.289125	0	0.07228125	0.6425	0	0	0	0	0.0	0.224875	0	0	0.1285	0.257	0	0.257	0.0126205357143	0	0	0	0.0107083333333	0	0.149916666667	1	0.0032125	0	0	0	0.00338157894737	0	0	0.00377941176471	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0	0	0.867375	0	0.867375	0	0	0.0	0	0	0	0.674625	0	0	0	0	0	0	0.0757232142857	0	0	0	0	0	0.224875	1	0.0137678571429	0	0	0	0	1	0	0	0
(u'ax',)	0.0	1	0.0	0.19275	0	0	0	0.0247821428571	0	0.04336875	0.32125	0.0	0	0	0.096375	0.0	0.0613295454545	0.674625	0.0	0.096375	0.0160625	0.006425	0.0226764705882	0.0271826923077	0.0	0.3855	0	0.0096375	0.0	0.0232629310345	1	0.01285	0.096375	0	0	0.032125	0.481875	1	0.019275	0
(u'ay',)	0	0	0	0	0	0.1285	0	0.57825	0	0.0481875	0.6425	0	0.0	0	0.19275	0	0	0	0.0	0.1285	0.0160625	0.0428333333333	0.0367142857143	0.0785277777778	0	0	0	0.032125	0	0.224875	0	0.0142777777778	0.032125	0	0	0.0214166666667	1	0	0.032125	0
(u'b',)	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0
(u'ch',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0.224875	0.1124375	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06425	0	0	0	0	0.6425	0	0	0
(u'd',)	0.0	1	0.0	0.16705	0.0	0.0379659090909	0	1	0	0.6264375	0.464027777778	0.0	0.0	0.0	0.417625	0.0	1	0.324819444444	0.0	0	0.556833333333	0.83525	0.83525	1	0	0.185611111111	0	0.2088125	0.0	0.974458333333	1	0.10440625	0	0	0.0	0	1	1	0.0417625	0
(u'dh',)	0	0.04626	0	0.19275	0	0.00243987341772	0	0.867375	0	0.867375	0.32125	0.0	0.0	0.0	0	0	0.674625	0.674625	0.0	0	0	0	0	0	0	0.1285	0	0	0	0.3373125	0	0	0	0	0	0	1	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'er',)	0	1	0	0	0.0	0.0917857142857	0	0.7228125	0.0	0.36140625	1	0.0	0	0	0.481875	0.0	0.5621875	1	0.0	0.6425	1	0.32125	0	0.8834375	0	1	0	0	0	0.32125	1	0.0713888888889	0.160625	0	0	0.32125	1	1	0.0535416666667	0
(u'ey',)	0.0	0	0	0.32125	0	0.32125	0	0.481875	0.0	1	0.803125	0	0	0	0.481875	0.0	1	0	0	0	0.0535416666667	0.32125	0.0803125	0.8834375	0	0	0	0	0	0.28109375	1	0.32125	0	0	0	0.0535416666667	1	0	0.032125	0
(u'f',)	0	0.771	0	0.00856666666667	0	0.032125	0.417625	0	0	0	0.6425	0.0	0.0	0.0	0	0	0	0.149916666667	0.0	0	0	0.032125	0	0	0	0	0	0	0.0	0	0	0.1285	0	0	0	0	0	1	0	0
(u'g',)	0.0	0	0.0	0	0	0	0	0.867375	0	0	0	0.0	0.0	0	0	0	0.674625	0.3373125	0	0	0	0.19275	0	0	0	0.06425	0	0	0.0	0	1	0	0	0.0	0	0	0	0.514	0.02409375	0
(u'hh',)	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0
(u'iy',)	0.0	1	0.0	0.26985	0	0.224875	0	1	0.0	0.3794765625	1	0.0	0.0	0	0.289125	0.0	0.277786764706	1	0.0	0.26985	0.299833333333	0.134925	0.44975	0.494725	0	1	0	0.096375	0	0.429306818182	1	0.0674625	0.096375	0	0	0	0.793676470588	1	0.0137678571429	0
(u'jh',)	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'k',)	0.0	0.113382352941	0.0	0.0458928571429	0.0	0.04015625	1	1	0	0	0.229464285714	0.0	0	0.0	0.481875	0	0.5621875	0.140546875	0.0	0.32125	0.214166666667	0.0458928571429	0	0	0	0.214166666667	0	0.160625	0.0	0.04015625	1	0.06425	0	0.0	0	0	0.803125	0	0	0
