aab ஹ
aan ஺
aanz ஻
aar ஼
ae ஽
aeb ா
aef ி
aek ீ
aen ு
aend ூ
aesk ௃
aeskt ௄
aet ௅
aez ெ
ah ே
ahn ை
ahp ௉
ahs ொ
ahv ோ
aof ௌ
aol ்
aor ௎
aw ௏
awnd ௐ
awt ௑
ax ௒
axb ௓
axf ௔
axjhd ௕
axk ௖
axl ௗ
axm ௘
axn ௙
axng ௚
axns ௛
axnt ௜
axp ௝
axs ௞
axt ௟
axv ௠
axz ௡
ay ௢
aym ௣
ayv ௤
baa ௥
baaks ௦
baek ௧
bah ௨
bahk ௩
baht ௪
bao ௫
bawt ௬
bax ௭
baxl ௮
baxnd ௯
baxt ௰
bay ௱
beh ௲
behd ௳
ber ௴
berd ௵
bey ௶
bih ௷
bihg ௸
bihn ௹
biht ௺
biy ௻
blaaks ௼
bliy ௽
bow ௾
bowth ௿
boy ఀ
boyz ఁ
brax ం
buhk ః
buhks ఄ
chax అ
chaxn ఆ
chaxng ఇ
chaxz ఈ
chayldz ఉ
chehr ఊ
cher ఋ
cherz ఌ
chih ఍
chiyz ఎ
daagz ఏ
daal ఐ
daalz ఑
dae ఒ
dah ఓ
dahb ఔ
dahlts క
dahn ఖ
dahz గ
dahznt ఘ
dao ఙ
daor చ
dawn ఛ
dax జ
daxd ఝ
daxn ఞ
daxng ట
day ఠ
deh డ
dehn ఢ
der ణ
derd త
dey థ
deyz ద
dhaen ధ
dhaet న
dhaets ఩
dhax ప
dhaxs ఫ
dhaxt బ
dhehm భ
dhehn మ
dhehr య
dher ర
dhey ఱ
dhiyz ల
dhowz ళ
dih ఴ
dihd వ
dihdnt శ
diy ష
dow స
downt హ
drae ఺
drehs ఻
duw ఼
eh ఽ
ehg ా
ehgz ి
ehk ీ
ehls ు
ehn ూ
ehnd ృ
ehs ౄ
ehst ౅
er ె
erjhd ే
ey ై
eych ౉
eyjh ొ
eyt ో
eyts ౌ
fae ్
fah ౎
faor ౏
fawnd ౐
fax ౑
faxk ౒
faxl ౓
fay ౔
faynd ౕ
fayv ౖ
fehlt ౗
fehr ౘ
fer ౙ
ferst ౚ
fey ౛
fihf ౜
fihng ౝ
fihsh ౞
fiyd ౟
fiyl ౠ
flaet ౡ
flaor ౢ
fown ౣ
frah ౤
frahm ౥
frehnd ౦
frehndz ౧
frih ౨
friy ౩
fuwdz ౪
fuwl ౫
fyuw ౬
gaa ౭
gaat ౮
gaxn ౯
geh ౰
gehn ౱
gehs ౲
geht ౳
gehts ౴
gerl ౵
gerlz ౶
gerz ౷
geyl ౸
geylz ౹
gihv ౺
gihvz ౻
gow ౼
gowz ౽
greyt ౾
gruwp ౿
guhd ಀ
gyax ಁ
hhaed ಂ
hhaednt ಃ
hhaend ಄
hhaendz ಅ
hhaeps ಆ
hhaet ಇ
hhaev ಈ
hhaevnt ಉ
hhaez ಊ
hhahz ಋ
hhaw ಌ
hhaxd ಍
hhaxv ಎ
hhay ಏ
hhehd ಐ
hhehlp ಑
hhehr ಒ
hher ಓ
hherd ಔ
hherz ಕ
hhihm ಖ
hhihz ಗ
hhiy ಘ
hhiyd ಙ
hhiyz ಚ
hhowld ಛ
hhowm ಜ
hhuw ಝ
ih ಞ
ihf ಟ
ihk ಠ
ihn ಡ
iht ಢ
ihts ಣ
ihz ತ
iy ಥ
iyt ದ
jhahst ಧ
jhax ನ
jhaxts ಩
jheh ಪ
jher ಫ
jhihng ಬ
jhoyz ಭ
kaa ಮ
kaan ಯ
kaar ರ
kae ಱ
kaen ಲ
kah ಳ
kahm ಴
kahmz ವ
kaol ಶ
kaold ಷ
kaor ಸ
kaors ಹ
kaoz ಺
kawn ಻
kawnt ಼
kawnts ಽ
kax ಾ
kaxg ಿ
kaxl ೀ
kaxlt ು
kaxlz ೂ
kaxm ೃ
kaxn ೄ
kaxng ೅
kaynd ೆ
kehpt ೇ
ker ೈ
kerz ೉
key ೊ
keyjh ೋ
keym ೌ
keys ್
keyt ೎
kih ೏
kihd ೐
kihn ೑
kihs ೒
kiyz ೓
klaxngz ೔
klay ೕ
klaym ೖ
kliynd ೗
krae ೘
kray ೙
kreh ೚
krey ೛
krihb ೜
kriy ೝ
kwayt ೞ
kwayz ೟
kwihzd ೠ
kwiy ೡ
kyax ೢ
kyuh ೣ
kyuwt ೤
laa ೥
laat ೦
laest ೧
lahnch ೨
lahv ೩
lahvd ೪
lahvz ೫
laost ೬
lax ೭
laxjh ೮
laxn ೯
laxng ೰
laxnt ೱ
lay ೲ
layk ೳ
layks ೴
layv ೵
layz ೶
leh ೷
lehk ೸
lehs ೹
leht ೺
ler ೻
lerz ೼
ley ೽
leyt ೾
lih ೿
lihv ഀ
liy ഁ
liyvz ം
luh ഃ
luhk ഄ
luhkt അ
luws ആ
lyer ഇ
mah ഈ
mahch ഉ
maor ഊ
mawth ഋ
max ഌ
maxl ഍
maxlz എ
maxn ഏ
maxng ഐ
maxnt ഑
maxt ഒ
may ഓ
meh ഔ
mehm ക
mehn ഖ
mehr ഗ
mey ഘ
meyk ങ
mih ച
mihlk ഛ
miy ജ
miyn ഝ
miyt ഞ
mowst ട
mowt ഠ
muwvd ഡ
myuw ഢ
naa ണ
naat ത
nae ഥ
nah ദ
