aan ஹ
aap ஺
aar ஻
aarmz ஼
ae ஽
aen ா
aend ி
aents ீ
aernt ு
aet ூ
aez ௃
ah ௄
ahn ௅
ahp ெ
ahs ே
ahv ை
ao ௉
aof ொ
aol ோ
aor ௌ
awt ்
ax ௎
axn ௏
axng ௐ
axs ௑
axt ௒
ay ௓
ayl ௔
aym ௕
ayz ௖
baaks ௗ
baek ௘
bah ௙
baht ௚
baol ௛
baolz ௜
bawt ௝
bax ௞
baxl ௟
bay ௠
bayt ௡
behl ௢
berd ௣
bey ௤
bihg ௥
bihl ௦
bihn ௧
biht ௨
biy ௩
biyz ௪
blaak ௫
blaaks ௬
bliy ௭
blow ௮
bluw ௯
boy ௰
brahsh ௱
brehk ௲
brihng ௳
buhk ௴
buhks ௵
buw ௶
buwm ௷
chehr ௸
chehrz ௹
cher ௺
cheynjh ௻
cheynjhd ௼
chihl ௽
chiyks ௾
chuw ௿
daa ఀ
daal ఁ
daalz ం
dae ః
dahn ఄ
dahz అ
dahznt ఆ
dao ఇ
daog ఈ
daor ఉ
dawn ఊ
daxng ఋ
day ఌ
der ఍
dey ఎ
deyn ఏ
dhaet ఐ
dhaets ఑
dhax ఒ
dhaxs ఓ
dhaxt ఔ
dhehm క
dhehn ఖ
dhehr గ
dher ఘ
dherz ఙ
dhey చ
dhiyz ఛ
dhow జ
dhowz ఝ
dihd ఞ
diy ట
diyz ఠ
dow డ
downt ఢ
drae ణ
draxn త
duw థ
eh ద
ehf ధ
ehgz న
ehk ఩
ehls ప
ehm ఫ
ehn బ
ehnd భ
ehr మ
ehs య
er ర
erz ఱ
ey ల
eych ళ
eyjh ఴ
faar వ
fah శ
faol ష
faor స
fawnd హ
faxs ఺
faxst ఻
fay ఼
faynd ఽ
fayv ా
fehd ి
fehl ీ
fer ు
fey ూ
feys ృ
fihld ౄ
fihng ౅
fiht ె
fiyd ే
fiylz ై
flaor ౉
flaw ొ
fown ో
fownz ౌ
frahm ్
frehndz ౎
gaa ౏
gaat ౐
gaxn ౑
gaxnz ౒
gay ౓
geh ౔
gehn ౕ
geht ౖ
gehts ౗
ger ౘ
gerl ౙ
giy ౚ
gow ౛
gowz ౜
goyn ౝ
guhd ౞
hhaard ౟
hhae ౠ
hhaed ౡ
hhaend ౢ
hhaendz ౣ
hhaev ౤
hhaez ౥
hhaeznt ౦
hhah ౧
hhaw ౨
hhaws ౩
hhax ౪
hhaxng ౫
hhaxv ౬
hhay ౭
hhehd ౮
hhehlp ౯
hhehr ౰
hher ౱
hhey ౲
hhihm ౳
hhihr ౴
hhihrz ౵
hhihz ౶
hhiy ౷
hhiyl ౸
hhiyz ౹
hhowl ౺
hhowld ౻
hhowm ౼
hhuw ౽
hhuwz ౾
ihf ౿
ihn ಀ
ihng ಁ
ihrz ಂ
iht ಃ
ihts ಄
ihz ಅ
ihznt ಆ
iy ಇ
iyt ಈ
iyz ಉ
jhaab ಊ
jhahmp ಋ
jhahst ಌ
jhehn ಍
jher ಎ
jhiynz ಏ
jhuw ಐ
kaaf ಑
kaar ಒ
kaaz ಓ
kae ಔ
kaen ಕ
kaent ಖ
kaet ಗ
kahm ಘ
kahmz ಙ
kahp ಚ
kaht ಛ
kaors ಜ
kax ಝ
kaxn ಞ
kaxng ಟ
kaxt ಠ
kehr ಡ
kerz ಢ
key ಣ
keyjh ತ
kihs ಥ
kiyp ದ
kiyz ಧ
klaak ನ
klows ಩
klowz ಪ
klowzd ಫ
kowm ಬ
kuhd ಭ
kwayt ಮ
laak ಯ
laat ರ
laats ಱ
laong ಲ
lax ಳ
lay ಴
layk ವ
layks ಶ
layn ಷ
leh ಸ
leht ಹ
lehts ಺
ler ಻
ley ಼
lih ಽ
lihf ಾ
lihft ಿ
lihvz ೀ
liy ು
liyv ೂ
liyz ೃ
low ೄ
luhk ೅
