	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'ae',)	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0.0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0
(u'ax',)	0	1	0	1	0	0.1659	0	0.114853846154	0.0	0.1106	0.24885	0	0	0	0.0191423076923	0.0	0.24885	0.870975	0.0	0.0	0.0088875	0.02765	0.054097826087	0.00721304347826	0.0	0	0	0.0146382352941	0.0	0.0452454545455	1	0.0108195652174	0.0	0	0	0.0	1	1	0.0	0
(u'ay',)	0.088875	1	0	0	0	0.1185	0	1	0	0.237	0	0	0	0	0.088875	0.0	0.0957115384615	0	0	0	0.0253928571429	0.444375	0.0444375	0.029625	0	0	0	0	0.0	0.3555	0	0.02221875	0.0	0	0	0.0	1	0	0.0	0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0	0.0	0
(u'ch',)	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
(u'd',)	0.03110625	0.85715	0.0	0.622125	0.0	0.024885	0.4354875	0.9954	0.0	0	0.0878294117647	0.0	0.0	0.0	0.24885	0.0	0.158359090909	0.0757369565217	0.0	0	0.0622125	0.41475	0.41475	0.04977	0	0.1422	0	0.08295	0.0	0.29862	0.511525	0.0207375	0.0	0	0.0	0	0.8087625	1	0.0	0
