aa ஹ
aan ஺
aanz ஻
aar ஼
ae ஽
aef ா
ael ி
aen ீ
aend ு
aent ூ
aernt ௃
aet ௄
aez ௅
ah ெ
ahp ே
ahs ை
ahv ௉
ao ொ
aof ோ
aol ௌ
aor ்
aw ௎
awl ௏
awnd ௐ
awt ௑
ax ௒
axbks ௓
axd ௔
axl ௕
axm ௖
axn ௗ
axng ௘
axp ௙
axt ௚
ay ௛
ayl ௜
aym ௝
ays ௞
ayv ௟
baa ௠
baaks ௡
baek ௢
baengk ௣
baet ௤
baeth ௥
bah ௦
baht ௧
baol ௨
baolz ௩
baw ௪
bawt ௫
bax ௬
baxd ௭
baxlz ௮
baxt ௯
baxts ௰
bay ௱
bayt ௲
beh ௳
behst ௴
beht ௵
ber ௶
berd ௷
bert ௸
berz ௹
bey ௺
beys ௻
bihb ௼
bihg ௽
bihl ௾
bihld ௿
bihn ఀ
biy ఁ
biynz ం
blaak ః
blaaks ఄ
blehs అ
bluw ఆ
bowl ఇ
boy ఈ
boyz ఉ
brahsh ఊ
breh ఋ
brehk ఌ
brihng ఍
buhk ఎ
buhks ఏ
buw ఐ
buwb ఑
chaxng ఒ
chay ఓ
chehr ఔ
chiy క
daal ఖ
dae గ
daed ఘ
dah ఙ
dahb చ
dahks ఛ
dahn జ
dahz ఝ
dahznt ఞ
dao ట
daog ఠ
daor డ
dawn ఢ
dax ణ
daxn త
daxng థ
daxngz ద
der ధ
dert న
dey ఩
deyl ప
dhaet ఫ
dhaets బ
dhax భ
dhaxs మ
dhaxt య
dhehm ర
dhehr ఱ
dher ల
dherz ళ
dhey ఴ
dhihs వ
dhiyz శ
dhowz ష
dihd స
dihdnt హ
dihg ఺
diy ఻
diyz ఼
dow ఽ
downt ా
dowz ి
draa ీ
drae ు
drahm ూ
drao ృ
drayv ౄ
drehst ౅
drihngk ె
duw ే
eh ై
ehf ౉
ehg ొ
ehgz ో
ehks ౌ
ehl ్
ehls ౎
ehm ౏
ehn ౐
ehnd ౑
ehr ౒
ehs ౓
er ౔
ern ౕ
erz ౖ
ey ౗
eych ౘ
eyt ౙ
faar ౚ
faen ౛
faest ౜
fah ౝ
fahn ౞
faor ౟
fax ౠ
faxl ౡ
faxn ౢ
faxst ౣ
faynd ౤
fayv ౥
feh ౦
fehl ౧
fer ౨
ferst ౩
fey ౪
feys ౫
fihng ౬
fihsh ౭
fiy ౮
fiyd ౯
flah ౰
flaor ౱
flaw ౲
flay ౳
flayz ౴
fliy ౵
fown ౶
frehnd ౷
frehndz ౸
fuwd ౹
gaa ౺
gaar ౻
gaat ౼
gahs ౽
gax ౾
gaxn ౿
gaxnz ಀ
geh ಁ
gehn ಂ
gehs ಃ
geht ಄
ger ಅ
gerl ಆ
gerlz ಇ
geym ಈ
gihv ಉ
giy ಊ
giyz ಋ
gow ಌ
gowz ಍
grae ಎ
griyn ಏ
guhd ಐ
hhaa ಑
hhaan ಒ
hhaar ಓ
hhaat ಔ
hhae ಕ
hhaed ಖ
hhaet ಗ
hhaev ಘ
hhaevnt ಙ
hhaez ಚ
hhah ಛ
hhahm ಜ
hhaors ಝ
hhaw ಞ
hhaws ಟ
hhax ಠ
hhay ಡ
hhehd ಢ
hhehlp ಣ
hhehr ತ
hher ಥ
hherd ದ
hhey ಧ
hhihm ನ
hhihr ಩
hhihrz ಪ
hhihz ಫ
hhiy ಬ
hhiyz ಭ
hhow ಮ
hhowm ಯ
hhuw ರ
hhuwz ಱ
ihk ಲ
ihn ಳ
ihng ಴
iht ವ
ihts ಶ
ihz ಷ
iy ಸ
iyt ಹ
jhaar ಺
jhahst ಻
jheh ಼
jhey ಽ
jhiy ಾ
jhuw ಿ
kaa ೀ
kaar ು
kae ೂ
kaen ೃ
kaet ೄ
kah ೅
kahm ೆ
kahmz ೇ
kahp ೈ
kaol ೉
kaold ೊ
kaw ೋ
kawt ೌ
kax ್
kaxg ೎
kaxl ೏
kaxnd ೐
kaxng ೑
kaynd ೒
kayt ೓
kayz ೔
keh ೕ
key ೖ
keyk ೗
keyks ೘
kih ೙
kihd ೚
kihn ೛
kihng ೜
kiy ೝ
kiyz ೞ
klaak ೟
klaaks ೠ
kliy ೡ
kowm ೢ
krey ೣ
kriym ೤
kuh ೥
kway ೦
kwayt ೧
kweh ೨
kwihlt ೩
kwihlts ೪
kyuw ೫
kyuwbz ೬
kyuwm ೭
kyuwmz ೮
laat ೯
laats ೰
laep ೱ
laest ೲ
lahv ೳ
laong ೴
laost ೵
lawd ೶
lax ೷
laxl ೸
laxn ೹
laxng ೺
layk ೻
layks ೼
leh ೽
leht ೾
lehts ೿
ler ഀ
lernd ഁ
lerz ം
ley ഃ
leyt ഄ
lih അ
liy ആ
low ഇ
lowz ഈ
luh ഉ
luhk ഊ
luhks ഋ
luhkt ഌ
luwnz ഍
maa എ
maar ഏ
maes ഐ
mahch ഑
mahg ഒ
mahsh ഓ
mahst ഔ
maor ക
maws ഖ
mawth ഗ
max ഘ
maxl ങ
maxng ച
maxz ഛ
may ജ
mehm ഝ
mih ഞ
mihlk ട
mihst ഠ
miy ഡ
miyl ഢ
miynz ണ
muw ത
naat ഥ
naen ദ
nah ധ
nahf ന
nahm ഩ
naw പ
nax ഫ
