	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0.414	0	0	0	0	0	0	0.025875	0	0	0	0	0	0.207	0	0	0.056925	0	0	0	0.0	0	0.1035	0	0.00295714285714	0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0828	0.0621	0	0.098325	0	0	0	0	0	0	0	0	0	0	0	0.001725	0.018975	0	0	0	0.0	0	0.0621	0	0.00115	0	0	0	0	0	0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0
(u'ax',)	0	0	0	0	0	0	0	0.01035	0	0.01035	0.19665	0	0	0	0.00345	0.005175	0.05865	0	0	0	0.03105	0.0150545454545	0.0207	0.00875769230769	0.0	0	0	0.0	0	0.00621	0.0	0.00345	0	0	0	0	0.1863	0	0.0
(u'ay',)	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0
(u'b',)	0.01035	0.0025875	0.00295714285714	0	0	0.005175	0.036225	0	0	0	0.19665	0.0	0	0.0	0	0	0	0.025875	0.0	0	0	0.0828	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0207	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.3933	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.108675	0	0.07245	0.0207	0.0	0.036225	0	0	0.4347	0.36225	0	0.0	0	0	0	0	0.615825	0.04528125	0.0	0.0	0	0	0	0.1992375	0	0.3441375	0	0.0	0.07245	0	0	0	0	0	0.0	0	0	0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0	0	0.05175	0	0	0	0	0	0	0	0	0	0	0.1242	0	0	0	0	0	0	0.0	0	0.01242	0	0.0207	0	0	0	0	0	0.30015	0.0
(u'ey',)	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.77625	0	0	0.621	0	0	0	0	0	0	0.0	0	0.9315	0	0.3105	0	0	0	0	0.9315	0	0
(u'f',)	0	0.0207	0.0207	0.0207	0	0.00414	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01035	0	0	0	0	0.0	0	0	0	0.6003	0
(u'g',)	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0	0	0	0	0	0.42435	0	1	0	0.70725	1	0	0.0	0	0.42435	1	0	0.5304375	0	0	1	1	0	1	0	0	0	0.0	0	1	0	0.0771545454545	0	0	0	0	0	0	0.0
(u'jh',)	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0.170775	0.01265	0.0253	0	0.0	0.0284625	0	0	0	0.56925	1	0.0	0.0	0.0	0.11385	0	0	0.0406607142857	0.0	0	0	0.4554	0	0	0	0	0	0	0	0.34155	0	0.0759	0	0.0	0	0	1	1	0
(u'l',)	0.21735	0.02415	0	0.0483	0	0.07245	0.07245	0.5796	0	0.36225	0	0.0	0	0.0	0	0.50715	0.3079125	0.181125	0.0	0	0.8694	0	0	0	0	0.688275	0	0	0.02415	0	0	0.1449	0	0.0	0	0	0	1	0
(u'm',)	0.00621	0	0.0207	0.0414	0	0.0207	0.1449	0.1656	0	0	0.19665	0	0.0	0.0	0	0	0.087975	0	0.0	0	0	0	0.0207	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0
(u'n',)	0.17595	0	0.17595	0	0.0	0.0125678571429	0	0	0	0.10996875	0.66861	0	0	0.0	0.17595	0	0	0	0.0	0	1	0	0	0	0	0.208940625	0	0	0.01173	0.52785	0	0.029325	0	0	0	0	0	1	0.0
(u'ng',)	0	0	0	0	0.0	0.03105	0	0.1242	0	0	0	0	0	0	0	0	0	0.15525	0	0	0.09315	0	0.0621	0	0	0	0	0	0	0	0	0.0621	0	0	0	0	0	0.450225	0
(u'ow',)	0	0	0	0	0	0.02458125	0	0	0	0	1	0	0	0	0	0.229425	0.8357625	0	0	0	0.1474875	1	0	0.360525	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.0
(u'oy',)	0	0	0	0.0828	0	0	0	0.3312	0	0	0	0	0	0	0	0	0	0.1035	0	0	0	0.6624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6003	0
(u'p',)	0.0621	0	0.0414	0	0	0.0138	0	0	0	0	0.19665	0	0.0	0	0.0414	0	0	0.1035	0.0	0	0	0.1656	0	0	0	0	0	0	0	0.1242	0	0	0	0.0	0	0	0	0	0
(u'r',)	0	0.0414	0.1656	0	0	0.0828	0.1932	1	0.9936	0.414	0	0.0	0	0	0.0276	0.2898	0.9384	0.1035	0.0	0	0.9936	0	0	1	0	0	0	0	0.0552	0.4968	0	0.1656	0	0	0.0	0.0	0	1	0
(u's',)	0	0	0.0207	0	0	0.01035	0.4347	0.4968	0	0	0.3933	0	0	0.0	0	0.4347	0	0	0.0	0	0.3726	0	0.0621	0	0	0.294975	0	0.0	0	0	0	0.0112909090909	0	0	0	0	0.5589	0	0
(u'sh',)	0	0	0	0	0	0.01035	0.07245	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u't',)	0.6831	0.2277	0.4554	0	0.0	0.011385	0	0.9108	1	0.3795	0.332792307692	0.0	0	0.0	0.2277	0.398475	0.38709	0.162642857143	0.0	0	0.3036	0	0.09108	1	0	0.5407875	0.0	0	0.056925	0.06831	0	0.1518	0	0	0	0.0	1	0.550275	0
(u'th',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.0207	0	0	0	0	0	0	0	0	0.414	0	0	0	0	0.0414	0.1932	0.7038	0.414	0	0.0	0.1656	0.26496	0	0	0	0.7866	0	0.0	0.0414	0.2484	0	0	0.0	0	0	0	0.3726	1	0
(u'v',)	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0
(u'w',)	0.0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0	0	0	0	0	0.0207	0	0	0	0	0.0715090909091	0	0	0	0	0.2898	0	0.1035	0.0	0	0	0	0	0.2277	0	0	0	0.0	0	0.2484	0.0	0.0828	0	0	0	0	0	0	0
