Freq	Type
520	you
339	yeah
310	oh
222	huh
188	no
166	what
162	mommy
159	okay
150	go
140	whoa
132	that's
118	uhoh
118	that
113	hi
108	there
108	and
107	here
105	say
103	little
101	yes
98	see
92	gonna
88	up
87	the
87	i
82	book
80	it
78	oops
76	wanna
76	doggie
75	doing
74	mommy's
72	one
71	gotta
67	ready
67	march
64	water
60	too
59	ball
58	outside
51	we
49	going
47	nose
46	other
45	it's
44	toes
44	do
43	off
41	open
40	head
40	down
39	jump
38	good
38	out
37	look
37	dakota
36	whoops
34	better
33	again
32	hello
32	dirty
31	yuck
31	boy
30	happy
29	window
29	way
28	pretty
28	now
28	let's
27	peekaboo
27	bottle
26	timmy
26	in
26	back
25	sweetie
25	kitty
25	phone
25	baby
25	a
24	silly
24	piggy
24	day
24	boom
24	balloons
24	alright
23	zipper
23	hair
23	door
23	babies
22	close
22	chair
22	byebye
22	on
21	three
21	tabitha
21	puppy
21	lemme
21	hey
21	goodness
20	want
20	shoes
20	kinda
20	heavy
20	gimme
20	feet
20	blocks
19	ya
19	very
19	rattle
19	rabbit
19	daddy's
19	belly
18	wow
18	really
18	over
18	music
18	mouse
18	cookie
18	kiss
18	cat
18	fishie
17	well
17	snowman
17	something
17	room
17	please
17	lady
17	hands
17	hand
17	foot
17	this
17	block
17	bunny
17	under
16	yucky
16	uhhuh
16	sorry
16	right
16	playing
16	mister
16	mouth
16	legs
16	honey
16	fingers
16	there's
16	downstairs
15	part
15	nice
15	me
15	minute
15	lion
15	juice
15	is
15	froggie
15	find
15	all
14	where's
14	think
14	turtle
14	patty
14	melon
14	m
14	doggies
14	eyes
14	icy
13	stick
13	push
13	play
13	cake
13	careful
13	computer
13	hat
13	for
13	funny
13	daddy
13	blanket
13	upstairs
12	walk
12	tim
12	spider
12	pee
12	pumpkin
12	clifford
12	girl
12	them
12	birthday
12	bear
12	balloon
12	baa
11	toe
11	thing
11	stuff
11	seven
11	socks
11	noise
11	more
11	man
11	kittens
11	kisses
11	ears
11	him
11	five
11	airplane
11	elephant
11	button
11	barking
10	yep
10	trees
10	tippy
10	time
10	sticky
10	side
10	maybe
10	mess
10	looking
10	lego
10	cart
10	her
10	goes
10	finger
10	else
10	birdie
10	our
9	oopsie
9	toys
9	toy
9	tub
9	santa
9	put
9	people
9	paper
9	pie
