	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0.0813	0	0	0	0	0	0	0	0.1626	0	0	0.14634	0.28455	0.0	0.00813	0	0	0	0	0.00239117647059	0	0	0.00451666666667	0	0	0	0	0.4878	0	0.0
(u'ae',)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0.813	0	0.4065	0.4065	1	0.0	0.0542	0	1	0	0	0	1	0	0.00483928571429	0	0	0	0.0	0	1	0.0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0.0813	0.0632333333333	0	0	0	0.0	0	0	0	0	0	0	0.09485	0.0	0.0180666666667	0	0	0	0.01084	0	0.0293583333333	0	0.000564583333333	0	0	0	0.0	0	0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0
(u'ax',)	0	0	0.0	0.04065	0	0	0	0.0375230769231	0	0.0696857142857	0.28455	0	0	0	0.0	0.0508125	0.0813	0	0.0	0	0.07317	0.0105388888889	0.0	0.0232285714286	0.0	0	0	0.1626	0.01355	0.088075	0	0.004065	0	0	0	0.0	0.9756	0.47425	0.0
(u'ay',)	0	0	0	0	0	0	0	0.1626	0	0.04065	0	0	0	0	0	0	0	0	0	0.0271	0.060975	0.09485	0.0	0	0	0	0	0	0	0.17615	0	0.006775	0	0	0	0.0	0	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0304875	0.60975	0	0.02439	0.0	0.0	0	1	0	0.7317	0	0	0	0.0	0.0	0.60975	0.2439	0.060975	0	0	0	0	0.0	0	0	0.2743875	0	0	0.12195	1	0.0	0.12195	0.0	0	0.103188461538	0	1	0.85365	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0	0	0	0	0.0	0	0	0.5962	0	0	0	0	0	0	0	0.74525	0	0	0	0	0.206376923077	0.173891666667	0	0	0	0	0	0	0.14905	0	0	0.14905	0	0	0	0	0	0	0.0
(u'ey',)	0	0	0	0	0.0	0.0	0	0.0304875	0	0.4878	0.28455	0	0	0	0	0	0.01626	0	0	0	0.12195	0	0	0.1626	0	0	0	0	0	0.264225	0	0.020325	0	0	0	0	0.4878	1	0.0
(u'f',)	0.0	0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0
(u'g',)	0.00739090909091	0	0	0	0	0	0	0	0	0.3252	0	0.0	0.0	0	0.0	0.033875	0	0	0	0	0	0	0.0	0	0	0.0286941176471	0	0	0.01355	0	0	0	0	0.0	0	0	0.6504	0	0
(u'hh',)	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	0.2981	0	0	0	0	0.0	0	0.8943	0	0.8943	0.463711111111	0.0	0	0	0	0.372625	0.5962	0.397466666667	0.0	0	0	1	0.0	1	0	0	0	0	0.14905	0	0	0.05962	0	0	0	0	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0587166666667	0	0	0	0	0.14905	0	0	0	0
(u'k',)	0.4065	0.06775	0.0	0.033875	0	0.0	0	0	0	0	0.632333333333	0	0.0	0.0	0	0	0	0.1084	0.0	0	0	0.316166666667	0.0	0	0	0	0	0	0	1	0	0	0	0	0.212928571429	0	1	0	0
(u'l',)	0.2439	0.813	0	0.1626	0	0.0	0.1626	0.4878	0	0	1	0.0	0.0	0.0	0.0	0.813	0.3252	0.0813	0	0	0	0	0.0	0	0	0.418114285714	0	0	0.1626	0	0	0	0	0.0	0.2981	0	1	1	0.0
