aa ஹ
aan ஺
aanz ஻
aar ஼
aarm ஽
ae ா
aend ி
aernt ீ
aesk ு
aet ூ
ah ௃
ahp ௄
ahv ௅
aof ெ
aol ே
awt ை
ax ௉
axn ொ
axng ோ
axnt ௌ
axp ்
axt ௎
ay ௏
ayl ௐ
aym ௑
ayv ௒
ayz ௓
bae ௔
baek ௕
bah ௖
baht ௗ
bawt ௘
bax ௙
bay ௚
beh ௛
behd ௜
beht ௝
ber ௞
bih ௟
bihld ௠
bihrd ௡
biy ௢
blaak ௣
blaaks ௤
bowl ௥
boy ௦
brah ௧
brahsh ௨
brihng ௩
buhk ௪
buhks ௫
buw ௬
buwm ௭
cher ௮
chiy ௯
chuw ௰
daa ௱
daaz ௲
dae ௳
daen ௴
daenz ௵
dahk ௶
dahks ௷
dahz ௸
dahznt ௹
dao ௺
daor ௻
dax ௼
daxd ௽
daxng ௾
dey ௿
deyt ఀ
deyz ఁ
dhaen ం
dhaet ః
dhaets ఄ
dhax అ
dhaxs ఆ
dhaxt ఇ
dhehm ఈ
dhehr ఉ
dher ఊ
dherz ఋ
dhey ఌ
dhiyz ఍
dhowz ఎ
dih ఏ
dihd ఐ
dihdnt ఑
dihg ఒ
dihng ఓ
dihr ఔ
diy క
diyz ఖ
downt గ
drae ఘ
drihngk ఙ
duw చ
eh ఛ
ehl జ
ehls ఝ
ehm ఞ
ehn ట
ehs ఠ
eht డ
er ఢ
erz ణ
ey త
eych థ
faor ద
fawnd ధ
faxl న
faxnt ఩
fayn ప
faynd ఫ
fayv బ
fer భ
ferst మ
fey య
feys ర
fihks ఱ
fihng ల
fiht ళ
fiy ఴ
fiyd వ
fiyl శ
fiylz ష
flaw స
flay హ
fown ఺
fownz ఻
fraxm ఼
fuht ఽ
gaa ా
gaan ి
gaat ీ
gaon ు
gax ూ
gaxn ృ
gaxst ౄ
gehn ౅
gehs ె
geht ే
ger ై
gerl ౉
gihv ొ
giy ో
giyz ౌ
gow ్
gowz ౎
grae ౏
graemps ౐
guhd ౑
hhaart ౒
hhae ౓
hhaend ౔
hhaev ౕ
hhah ౖ
hhahg ౗
hhahm ౘ
hhaor ౙ
hhaors ౚ
hhaw ౛
hhaws ౜
hhax ౝ
hhaxv ౞
hhay ౟
hhehr ౠ
hher ౡ
hhert ౢ
hhey ౣ
hhihm ౤
hhihr ౥
hhihrz ౦
hhihz ౧
hhiy ౨
hhiyz ౩
hhuw ౪
hhuwz ౫
ih ౬
ihn ౭
iht ౮
ihts ౯
ihz ౰
ihznt ౱
iy ౲
jhahst ౳
jhehn ౴
jhuw ౵
jhuws ౶
kaa ౷
kaen ౸
kaent ౹
kaet ౺
kah ౻
kahm ౼
kahps ౽
kao ౾
kaold ౿
kawz ಀ
kax ಁ
kaxm ಂ
kaxn ಃ
kaxng ಄
kehr ಅ
key ಆ
keyjh ಇ
keyvz ಈ
keyz ಉ
kih ಊ
kihs ಋ
kiy ಌ
kiyz ಍
klaak ಎ
kliy ಏ
klows ಐ
klowz ಑
klowzd ಒ
kowm ಓ
krey ಔ
kuhd ಕ
kwaek ಖ
laarm ಗ
laats ಘ
lahnch ಙ
lahv ಚ
laong ಛ
lax ಜ
laxng ಝ
lay ಞ
layk ಟ
leht ಠ
lehts ಡ
ley ಢ
lihng ಣ
liy ತ
liyv ಥ
liyvz ದ
liyz ಧ
low ನ
luhk ಩
luhks ಪ
luwn ಫ
luwnz ಬ
maa ಭ
maam ಮ
mahch ಯ
mahng ರ
maor ಱ
maws ಲ
max ಳ
maxng ಴
may ವ
mey ಶ
meyk ಷ
mih ಸ
mihlk ಹ
mihs ಺
miy ಻
miyz ಼
muw ಽ
naat ಾ
nah ಿ
naw ೀ
nax ು
naxng ೂ
naxs ೃ
naxt ೄ
naxz ೅
nay ೆ
nays ೇ
nayt ೈ
nehkst ೉
neym ೊ
niy ೋ
niyz ೌ
now ್
nowp ೎
nowz ೏
nuw ೐
ow ೑
own ೒
paart ೓
pae ೔
paet ೕ
paol ೖ
paolz ೗
paxl ೘
paxn ೙
pehn ೚
per ೛
pers ೜
peyjh ೝ
pihk ೞ
piy ೟
piyk ೠ
pley ೡ
pliyz ೢ
prih ೣ
puh ೤
puht ೥
puhts ೦
rayt ೧
reh ೨
rehd ೩
rehts ೪
rer ೫
rih ೬
rihng ೭
riy ೮
riyd ೯
saak ೰
saaks ೱ
sao ೲ
saort ೳ
saxl ೴
saxm ೵
saxz ೶
say ೷
sehlf ೸
sey ೹
shahsh ೺
shaht ೻
shey ೼
shihng ೽
shiy ೾
shiyz ೿
shuhr ഀ
shuw ഁ
shuwz ം
sih ഃ
sihks ഄ
siy അ
siyz ആ
skrae ഇ
skraech ഈ
sliyp ഉ
smehl ഊ
sneyk ഋ
spae ഌ
spuwn ഍
staxd എ
suw ഏ
sweh ഐ
swiyt ഑
taa ഒ
taak ഓ
taap ഔ
tahch ക
tao ഖ
taok ഗ
taw ഘ
tax ങ
taxl ച
taxn ഛ
taxng ജ
taxst ഝ
taym ഞ
teh ട
ter ഠ
tern ഡ
tey ഢ
teyk ണ
thaengk ത
thihng ഥ
thihngk ദ
thihngz ധ
thriy ന
thruw ഩ
tihk പ
tiy ഫ
tiyz ബ
tow ഭ
